module_id,seq_id,domain_type,canonical_domain_type,kingdom,reaction_labels,has_no_reactions
marts_E00680_beta_0,marts_E00680,beta,beta,Plants,['sesq Class 1'],False
marts_E00680_alpha_0,marts_E00680,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01532_beta_0,marts_E01532,beta,beta,Plants,['sester Class 1'],False
marts_E01532_alpha_0,marts_E01532,alpha,alpha,Plants,['sester Class 1'],False
marts_E00369_beta_0,marts_E00369,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00369_alpha_0,marts_E00369,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00247_beta_0,marts_E00247,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00247_alpha_0,marts_E00247,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01017_beta_0,marts_E01017,beta,beta,Plants,['sesq Class 1'],False
marts_E01017_alpha_0,marts_E01017,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00000_beta_0,marts_E00000,beta,beta,Plants,['mono Class 1'],False
marts_E00000_alpha_0,marts_E00000,alpha,alpha,Plants,['mono Class 1'],False
marts_E01108_beta_0,marts_E01108,beta,beta,Plants,['mono Class 1'],False
marts_E01108_alpha_0,marts_E01108,alpha,alpha,Plants,['mono Class 1'],False
marts_E01266_beta_0,marts_E01266,beta,beta,Plants,['sesq Class 1'],False
marts_E01266_alpha_0,marts_E01266,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00397_beta_0,marts_E00397,beta,beta,Plants,['sesq Class 1'],False
marts_E00397_alpha_0,marts_E00397,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00326_beta_0,marts_E00326,beta,beta,Plants,['mono Class 1'],False
marts_E00326_alpha_0,marts_E00326,alpha,alpha,Plants,['mono Class 1'],False
marts_E00068_beta_0,marts_E00068,beta,beta,Plants,['mono Class 1'],False
marts_E00068_alpha_0,marts_E00068,alpha,alpha,Plants,['mono Class 1'],False
marts_E00713_beta_0,marts_E00713,beta,beta,Plants,['sesq Class 1'],False
marts_E00713_alpha_0,marts_E00713,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00906_beta_0,marts_E00906,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00906_alpha_0,marts_E00906,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00681_beta_0,marts_E00681,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00681_alpha_0,marts_E00681,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00722_beta_0,marts_E00722,beta,beta,Plants,['mono Class 1'],False
marts_E00722_alpha_0,marts_E00722,alpha,alpha,Plants,['mono Class 1'],False
marts_E00602_beta_0,marts_E00602,beta,beta,Plants,['sesq Class 1'],False
marts_E00602_alpha_0,marts_E00602,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00764_beta_0,marts_E00764,beta,beta,Plants,['sesq Class 1'],False
marts_E00764_alpha_0,marts_E00764,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01497_beta_0,marts_E01497,beta,beta,Plants,['sesq Class 1'],False
marts_E01497_alpha_0,marts_E01497,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00236_beta_0,marts_E00236,beta,beta,Plants,['sesq Class 1'],False
marts_E00236_alpha_0,marts_E00236,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00776_beta_0,marts_E00776,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00776_alpha_0,marts_E00776,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00636_beta_0,marts_E00636,beta,beta,Plants,['sesq Class 1'],False
marts_E00636_alpha_0,marts_E00636,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00245_beta_0,marts_E00245,beta,beta,Plants,['sesq Class 1'],False
marts_E00245_alpha_0,marts_E00245,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00458_beta_0,marts_E00458,beta,beta,Plants,['sesq Class 1'],False
marts_E00458_alpha_0,marts_E00458,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00143_beta_0,marts_E00143,beta,beta,Plants,['sesq Class 1'],False
marts_E00143_alpha_0,marts_E00143,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00724_beta_0,marts_E00724,beta,beta,Plants,['mono Class 1'],False
marts_E00724_alpha_0,marts_E00724,alpha,alpha,Plants,['mono Class 1'],False
marts_E00848_beta_0,marts_E00848,beta,beta,Plants,['mono Class 1'],False
marts_E00848_alpha_0,marts_E00848,alpha,alpha,Plants,['mono Class 1'],False
marts_E00706_ids_0,marts_E00706,ids,alpha,Plants,"['sqs', 'tri Class 1']",False
marts_E00124_ids_0,marts_E00124,ids,alpha,Plants,['sqs'],False
marts_E00475_ids_0,marts_E00475,ids,alpha,Animals,['sqs'],False
marts_E00347_ids_0,marts_E00347,ids,alpha,Protists,['pt'],False
marts_E01051_alpha_0,marts_E01051,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00194_ids_0,marts_E00194,ids,alpha,Animals,['pt'],False
marts_E01538_alpha_0,marts_E01538,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00388_ids_0,marts_E00388,ids,alpha,Archaea,['pt'],False
marts_E01323_alpha_0,marts_E01323,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01326_ids_0,marts_E01326,ids,alpha,Animals,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E00207_ids_0,marts_E00207,ids,alpha,Plants,['pt'],False
marts_E00162_alpha_0,marts_E00162,alpha,alpha,Bacteria,['mono Class 1'],False
marts_E01095_alpha_0,marts_E01095,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00212_ids_0,marts_E00212,ids,alpha,Archaea,['pt'],False
marts_E00597_alpha_0,marts_E00597,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00880_alpha_0,marts_E00880,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01337_alpha_0,marts_E01337,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00591_alpha_0,marts_E00591,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01461_alpha_0,marts_E01461,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00563_ids_0,marts_E00563,ids,alpha,Plants,['pt'],False
marts_E00461_ids_0,marts_E00461,ids,alpha,Plants,['pt'],False
marts_E00857_alpha_0,marts_E00857,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00504_ids_0,marts_E00504,ids,alpha,Bacteria,['pt'],False
marts_E00491_ids_0,marts_E00491,ids,alpha,Plants,['psy'],False
marts_E00497_ids_0,marts_E00497,ids,alpha,Plants,['pt'],False
marts_E00505_ids_0,marts_E00505,ids,alpha,Bacteria,['tetra Class 1'],False
marts_E01116_gamma_0,marts_E01116,gamma,gamma,Fungi,"['di Class 1', 'di Class 2']",False
marts_E01116_delta_0,marts_E01116,delta,delta,Fungi,"['di Class 1', 'di Class 2']",False
marts_E01116_alpha_0,marts_E01116,alpha,alpha,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00666_beta_0,marts_E00666,beta,beta,Plants,['di Class 1'],False
marts_E00666_gamma_0,marts_E00666,gamma,gamma,Plants,['di Class 1'],False
marts_E00666_alpha_0,marts_E00666,alpha,alpha,Plants,['di Class 1'],False
marts_E00816_beta_0,marts_E00816,beta,beta,Plants,['di Class 1'],False
marts_E00816_gamma_0,marts_E00816,gamma,gamma,Plants,['di Class 1'],False
marts_E00816_alpha_0,marts_E00816,alpha,alpha,Plants,['di Class 1'],False
marts_E00640_beta_0,marts_E00640,beta,beta,Plants,['mono Class 1'],False
marts_E00640_alpha_0,marts_E00640,alpha,alpha,Plants,['mono Class 1'],False
marts_E00640_gamma_0,marts_E00640,gamma,gamma,Plants,['mono Class 1'],False
marts_E01088_ids_0,marts_E01088,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01088_alpha_0,marts_E01088,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01002_ids_0,marts_E01002,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01002_alpha_0,marts_E01002,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00993_ids_0,marts_E00993,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00993_alpha_0,marts_E00993,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00061_beta_0,marts_E00061,beta,beta,Plants,['di Class 2'],False
marts_E00061_gamma_0,marts_E00061,gamma,gamma,Plants,['di Class 2'],False
marts_E00061_ids_0,marts_E00061,ids,alpha,Plants,['di Class 2'],False
marts_E01207_ids_0,marts_E01207,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01207_alpha_0,marts_E01207,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00897_ids_0,marts_E00897,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00897_alpha_0,marts_E00897,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01533_alpha_0,marts_E01533,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01533_alpha_1,marts_E01533,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00463_beta_0,marts_E00463,beta,beta,Plants,['di Class 1'],False
marts_E00463_alpha_0,marts_E00463,alpha,alpha,Plants,['di Class 1'],False
marts_E00924_beta_0,marts_E00924,beta,beta,Plants,['sesq Class 1'],False
marts_E00924_alpha_0,marts_E00924,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00417_beta_0,marts_E00417,beta,beta,Plants,['mono Class 1'],False
marts_E00417_alpha_0,marts_E00417,alpha,alpha,Plants,['mono Class 1'],False
marts_E00129_beta_0,marts_E00129,beta,beta,Plants,['mono Class 1'],False
marts_E00129_alpha_0,marts_E00129,alpha,alpha,Plants,['mono Class 1'],False
marts_E00385_beta_0,marts_E00385,beta,beta,Plants,['mono Class 1'],False
marts_E00385_alpha_0,marts_E00385,alpha,alpha,Plants,['mono Class 1'],False
marts_E00717_beta_0,marts_E00717,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00717_alpha_0,marts_E00717,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01381_beta_0,marts_E01381,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01381_alpha_0,marts_E01381,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00635_beta_0,marts_E00635,beta,beta,Plants,['sesq Class 1'],False
marts_E00635_alpha_0,marts_E00635,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00729_beta_0,marts_E00729,beta,beta,Plants,['sesq Class 1'],False
marts_E00729_alpha_0,marts_E00729,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01184_beta_0,marts_E01184,beta,beta,Plants,['sesq Class 1'],False
marts_E01184_alpha_0,marts_E01184,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01292_beta_0,marts_E01292,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01292_alpha_0,marts_E01292,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00959_beta_0,marts_E00959,beta,beta,Plants,['mono Class 1'],False
marts_E00959_alpha_0,marts_E00959,alpha,alpha,Plants,['mono Class 1'],False
marts_E00556_beta_0,marts_E00556,beta,beta,Plants,['mono Class 1'],False
marts_E00556_alpha_0,marts_E00556,alpha,alpha,Plants,['mono Class 1'],False
marts_E01487_beta_0,marts_E01487,beta,beta,Plants,['sesq Class 1'],False
marts_E01487_alpha_0,marts_E01487,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01183_beta_0,marts_E01183,beta,beta,Plants,['sesq Class 1'],False
marts_E01183_alpha_0,marts_E01183,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00130_beta_0,marts_E00130,beta,beta,Plants,['mono Class 1'],False
marts_E00130_alpha_0,marts_E00130,alpha,alpha,Plants,['mono Class 1'],False
marts_E01059_beta_0,marts_E01059,beta,beta,Plants,['sesq Class 1'],False
marts_E01059_alpha_0,marts_E01059,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00269_beta_0,marts_E00269,beta,beta,Plants,['sesq Class 1'],False
marts_E00269_alpha_0,marts_E00269,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00676_beta_0,marts_E00676,beta,beta,Plants,['di Class 1'],False
marts_E00676_alpha_0,marts_E00676,alpha,alpha,Plants,['di Class 1'],False
marts_E00376_beta_0,marts_E00376,beta,beta,Plants,['sesq Class 1'],False
marts_E00376_alpha_0,marts_E00376,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00542_beta_0,marts_E00542,beta,beta,Plants,['sesq Class 1'],False
marts_E00542_alpha_0,marts_E00542,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01151_beta_0,marts_E01151,beta,beta,Plants,['sesq Class 1'],False
marts_E01151_alpha_0,marts_E01151,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00375_beta_0,marts_E00375,beta,beta,Plants,['sesq Class 1'],False
marts_E00375_alpha_0,marts_E00375,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00268_beta_0,marts_E00268,beta,beta,Plants,['sesq Class 1'],False
marts_E00268_alpha_0,marts_E00268,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01143_beta_0,marts_E01143,beta,beta,Plants,['di Class 1'],False
marts_E01143_alpha_0,marts_E01143,alpha,alpha,Plants,['di Class 1'],False
marts_E00812_beta_0,marts_E00812,beta,beta,Plants,['sesq Class 1'],False
marts_E00812_alpha_0,marts_E00812,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00331_beta_0,marts_E00331,beta,beta,Plants,['mono Class 1'],False
marts_E00331_alpha_0,marts_E00331,alpha,alpha,Plants,['mono Class 1'],False
marts_E00082_beta_0,marts_E00082,beta,beta,Plants,['mono Class 1'],False
marts_E00082_alpha_0,marts_E00082,alpha,alpha,Plants,['mono Class 1'],False
marts_E01010_alpha_0,marts_E01010,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00501_alpha_0,marts_E00501,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01189_alpha_0,marts_E01189,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00922_ids_0,marts_E00922,ids,alpha,Fungi,['pt'],False
marts_E00480_ids_0,marts_E00480,ids,alpha,Plants,['pt'],False
marts_E01227_ids_0,marts_E01227,ids,alpha,Animals,['sesq Class 1'],False
marts_E01460_alpha_0,marts_E01460,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00571_ids_0,marts_E00571,ids,alpha,Bacteria,['pt'],False
marts_E01094_alpha_0,marts_E01094,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01022_ids_0,marts_E01022,ids,alpha,Fungi,['pt'],False
marts_E01470_alpha_0,marts_E01470,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01332_alpha_0,marts_E01332,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00448_ids_0,marts_E00448,ids,alpha,Fungi,['pt'],False
marts_E01419_alpha_0,marts_E01419,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01322_alpha_0,marts_E01322,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00795_alpha_0,marts_E00795,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00819_alpha_0,marts_E00819,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01357_alpha_0,marts_E01357,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01092_alpha_0,marts_E01092,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01255_alpha_0,marts_E01255,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00126_ids_0,marts_E00126,ids,alpha,Fungi,['pt'],False
marts_E00135_ids_0,marts_E00135,ids,alpha,Plants,['pt'],False
marts_E00506_ids_0,marts_E00506,ids,alpha,Bacteria,['psy'],False
marts_E01321_alpha_0,marts_E01321,alpha,alpha,Viruses,"['mono Class 1', 'sesq Class 1']",False
marts_E00920_gamma_0,marts_E00920,gamma,gamma,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00920_delta_0,marts_E00920,delta,delta,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00920_alpha_0,marts_E00920,alpha,alpha,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00436_beta_0,marts_E00436,beta,beta,Plants,['di Class 1'],False
marts_E00436_gamma_0,marts_E00436,gamma,gamma,Plants,['di Class 1'],False
marts_E00436_alpha_0,marts_E00436,alpha,alpha,Plants,['di Class 1'],False
marts_E00311_beta_0,marts_E00311,beta,beta,Plants,['sesq Class 1'],False
marts_E00311_gamma_0,marts_E00311,gamma,gamma,Plants,['sesq Class 1'],False
marts_E00311_alpha_0,marts_E00311,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00976_ids_0,marts_E00976,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00976_alpha_0,marts_E00976,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01429_beta_0,marts_E01429,beta,beta,Plants,['di Class 2'],False
marts_E01429_gamma_0,marts_E01429,gamma,gamma,Plants,['di Class 2'],False
marts_E01429_alpha_0,marts_E01429,alpha,alpha,Plants,['di Class 2'],False
marts_E00584_beta_0,marts_E00584,beta,beta,Plants,"['di Class 1', 'di Class 2', 'mono Class 1']",False
marts_E00584_gamma_0,marts_E00584,gamma,gamma,Plants,"['di Class 1', 'di Class 2', 'mono Class 1']",False
marts_E00584_alpha_0,marts_E00584,alpha,alpha,Plants,"['di Class 1', 'di Class 2', 'mono Class 1']",False
marts_E01463_beta_0,marts_E01463,beta,beta,Plants,['di Class 2'],False
marts_E01463_gamma_0,marts_E01463,gamma,gamma,Plants,['di Class 2'],False
marts_E01463_alpha_0,marts_E01463,alpha,alpha,Plants,['di Class 2'],False
marts_E00888_beta_0,marts_E00888,beta,beta,Plants,['di Class 2'],False
marts_E00888_gamma_0,marts_E00888,gamma,gamma,Plants,['di Class 2'],False
marts_E00888_alpha_0,marts_E00888,alpha,alpha,Plants,['di Class 2'],False
marts_E01171_ids_0,marts_E01171,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01171_alpha_0,marts_E01171,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00617_beta_0,marts_E00617,beta,beta,Plants,['di Class 2'],False
marts_E00617_gamma_0,marts_E00617,gamma,gamma,Plants,['di Class 2'],False
marts_E00617_alpha_0,marts_E00617,alpha,alpha,Plants,['di Class 2'],False
marts_E00006_beta_0,marts_E00006,beta,beta,Plants,['di Class 2'],False
marts_E00006_gamma_0,marts_E00006,gamma,gamma,Plants,['di Class 2'],False
marts_E00006_alpha_0,marts_E00006,alpha,alpha,Plants,['di Class 2'],False
marts_E00798_beta_0,marts_E00798,beta,beta,Plants,['di Class 1'],False
marts_E00798_alpha_0,marts_E00798,alpha,alpha,Plants,['di Class 1'],False
marts_E01126_beta_0,marts_E01126,beta,beta,Plants,['sesq Class 1'],False
marts_E01126_alpha_0,marts_E01126,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00202_beta_0,marts_E00202,beta,beta,Plants,['mono Class 1'],False
marts_E00202_alpha_0,marts_E00202,alpha,alpha,Plants,['mono Class 1'],False
marts_E00334_beta_0,marts_E00334,beta,beta,Plants,['mono Class 1'],False
marts_E00334_alpha_0,marts_E00334,alpha,alpha,Plants,['mono Class 1'],False
marts_E01535_beta_0,marts_E01535,beta,beta,Plants,['mono Class 1'],False
marts_E01535_alpha_0,marts_E01535,alpha,alpha,Plants,['mono Class 1'],False
marts_E01443_beta_0,marts_E01443,beta,beta,Plants,"['di Class 1', 'sesq Class 1']",False
marts_E01443_alpha_0,marts_E01443,alpha,alpha,Plants,"['di Class 1', 'sesq Class 1']",False
marts_E00355_beta_0,marts_E00355,beta,beta,Plants,['hemi Class 1'],False
marts_E00355_alpha_0,marts_E00355,alpha,alpha,Plants,['hemi Class 1'],False
marts_E01478_beta_0,marts_E01478,beta,beta,Plants,['sester Class 1'],False
marts_E01478_alpha_0,marts_E01478,alpha,alpha,Plants,['sester Class 1'],False
marts_E00733_beta_0,marts_E00733,beta,beta,Plants,['mono Class 1'],False
marts_E00733_alpha_0,marts_E00733,alpha,alpha,Plants,['mono Class 1'],False
marts_E00029_beta_0,marts_E00029,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00029_alpha_0,marts_E00029,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00414_beta_0,marts_E00414,beta,beta,Plants,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E00414_alpha_0,marts_E00414,alpha,alpha,Plants,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E00031_beta_0,marts_E00031,beta,beta,Plants,['mono Class 1'],False
marts_E00031_alpha_0,marts_E00031,alpha,alpha,Plants,['mono Class 1'],False
marts_E01009_beta_0,marts_E01009,beta,beta,Plants,['sesq Class 1'],False
marts_E01009_alpha_0,marts_E01009,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00757_beta_0,marts_E00757,beta,beta,Plants,['mono Class 1'],False
marts_E00757_alpha_0,marts_E00757,alpha,alpha,Plants,['mono Class 1'],False
marts_E00086_beta_0,marts_E00086,beta,beta,Plants,['mono Class 1'],False
marts_E00086_alpha_0,marts_E00086,alpha,alpha,Plants,['mono Class 1'],False
marts_E00765_beta_0,marts_E00765,beta,beta,Plants,['sesq Class 1'],False
marts_E00765_alpha_0,marts_E00765,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01217_beta_0,marts_E01217,beta,beta,Plants,['sesq Class 1'],False
marts_E01217_alpha_0,marts_E01217,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00018_beta_0,marts_E00018,beta,beta,Plants,['sesq Class 1'],False
marts_E00018_alpha_0,marts_E00018,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00078_beta_0,marts_E00078,beta,beta,Plants,['mono Class 1'],False
marts_E00078_alpha_0,marts_E00078,alpha,alpha,Plants,['mono Class 1'],False
marts_E00961_beta_0,marts_E00961,beta,beta,Plants,['mono Class 1'],False
marts_E00961_alpha_0,marts_E00961,alpha,alpha,Plants,['mono Class 1'],False
marts_E00679_beta_0,marts_E00679,beta,beta,Plants,['sesq Class 1'],False
marts_E00679_alpha_0,marts_E00679,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00246_beta_0,marts_E00246,beta,beta,Plants,['sesq Class 1'],False
marts_E00246_alpha_0,marts_E00246,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00825_beta_0,marts_E00825,beta,beta,Plants,['sesq Class 1'],False
marts_E00825_alpha_0,marts_E00825,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00327_beta_0,marts_E00327,beta,beta,Plants,['sesq Class 1'],False
marts_E00327_alpha_0,marts_E00327,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00841_beta_0,marts_E00841,beta,beta,Plants,['sesq Class 1'],False
marts_E00841_alpha_0,marts_E00841,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01516_beta_0,marts_E01516,beta,beta,Plants,['sesq Class 1'],False
marts_E01516_alpha_0,marts_E01516,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01295_beta_0,marts_E01295,beta,beta,Plants,['sesq Class 1'],False
marts_E01295_alpha_0,marts_E01295,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01396_beta_0,marts_E01396,beta,beta,Plants,['sesq Class 1'],False
marts_E01396_alpha_0,marts_E01396,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00045_beta_0,marts_E00045,beta,beta,Plants,['sesq Class 1'],False
marts_E00045_alpha_0,marts_E00045,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00824_ids_0,marts_E00824,ids,alpha,Plants,['sqs'],False
marts_E00056_ids_0,marts_E00056,ids,alpha,Fungi,['pt'],False
marts_E00946_alpha_0,marts_E00946,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00492_ids_0,marts_E00492,ids,alpha,Plants,"['psy', 'tetra Class 2']",False
marts_E00909_ids_0,marts_E00909,ids,alpha,Fungi,['pt'],False
marts_E00486_ids_0,marts_E00486,ids,alpha,Archaea,['pt'],False
marts_E01356_alpha_0,marts_E01356,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01450_alpha_0,marts_E01450,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01466_alpha_0,marts_E01466,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01188_alpha_0,marts_E01188,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01400_alpha_0,marts_E01400,alpha,alpha,Fungi,['sesq Class 1'],False
