test_id,train_id,percent_identity,test_fold,test_cluster,train_cluster,same_cluster,test_substrate,train_substrate,is_major_substrate_used_in_metrics
Q50L36,Q9AR86,98.3,fold_0,48,48,True,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,False
Q9AR86,Q50L36,98.3,fold_1,48,48,True,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,False
Q7XAS7,Q9AR86,98.3,fold_0,48,48,True,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,False
J9QS23,J9R388,98.3,fold_2,116,117,False,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR8,D0VMR6,98.3,fold_3,162,162,True,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
J9R388,J9QS23,98.3,fold_3,117,116,False,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR6,D0VMR8,98.3,fold_4,162,162,True,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
Q41594,Q93YA3,98.2,fold_0,67,66,False,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
S0ENM8,A0A1L7VZE7,98.2,fold_2,283,283,True,Negative,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
Q9FT37,Q6TBY0,98.1,fold_0,67,66,False,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A023J8Z5,D0VMR8,98.1,fold_4,161,162,False,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR7,D0VMR8,97.6,fold_4,162,162,True,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR5,D0VMR8,97.6,fold_4,162,162,True,Negative,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A076L503,A0A076L784,97.0,fold_0,155,155,True,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
