marts_id,uniprot,kingdom,domain_configuration
marts_E00138,Q9LRZ6,Plants,β + α1D
marts_E00140,Q9LRH8,Plants,ε + δ2
marts_E00141,Q9LRH7,Plants,ε + δ2
marts_E00142,Q9LLR9,Plants,β + α1D
marts_E00143,Q9LKN1,Plants,β + α1D
marts_E00144,Q9LJY2,Plants,α3A
marts_E00145,Q9LIA0,Plants,α3A
marts_E00146,Q9LHR4,Plants,α3A
marts_E00147,Q9K499,Bacteria,α1G
marts_E00148,Q9HGZ6,Fungi,α4A
marts_E00149,Q9FZI2,Plants,ε + δ2
marts_E00150,Q9FXY7,Plants,β + α1D
marts_E00151,Q9FXV8,Plants,γ + β + α1D
marts_E00153,Q9FV72,Plants,β + α1D
marts_E00154,Q9FUW5,Plants,β + α1D
marts_E00155,Q9FT37,Plants,γ + β + α1D
marts_E00156,Q9FR95,Plants,ε + δ2
marts_E00158,Q9FQ27,Plants,β + α1D
marts_E00159,Q9FQ26,Plants,β + α1D
marts_E00160,Q9FJV8,Plants,ε + δ2
marts_E00161,Q9FI37,Plants,ε + δ2
marts_E00162,Q9F1Y6,Bacteria,α1G
marts_E00165,Q9C5M3,Plants,ε + δ2
marts_E00166,Q9C446,Fungi,α3B
marts_E00167,Q9AXM7,Plants,β + α1D
marts_E00168,Q9AR86,Plants,β + α1D
marts_E00169,Q9AR67,Plants,β + α1D
marts_E00170,Q9AR04,Plants,β + α1D
marts_E00171,Q9AJE4,Bacteria,γ + δ1
marts_E00172,Q9AJE3,Bacteria,α1G
marts_E00175,Q96WT2,Fungi,γ + δ1 + α1C
marts_E00176,Q96WJ0,Fungi,ε + δ2
marts_E00177,Q96376,Plants,γ + β + α1D
marts_E00178,Q94JS8,Plants,β + α1D
marts_E00179,Q94ID7,Plants,α3A
marts_E00180,Q94G53,Plants,β + α1D
marts_E00181,Q948Z0,Plants,β + α1D
marts_E00182,Q948R6,Plants,ε + δ2
marts_E00183,Q947C4,Plants,γ + β + α1D
marts_E00185,Q940E7,Plants,β + α1D
marts_E00186,Q93YV0,Plants,γ + β + α1D
marts_E00188,Q93X23,Plants,β + α1D
marts_E00189,Q93WU1,Plants,ε + δ2
marts_E00191,Q92250,Fungi,α3B
marts_E00192,Q92236,Fungi,α3B
marts_E00193,Q92235,Fungi,α3B
marts_E00194,Q920E5,Animals,α3B
marts_E00195,Q8YN85,Bacteria,α1G
marts_E00196,Q8WMY2,Animals,α3B
marts_E00197,Q8W3Z4,Plants,ε + δ2
marts_E00198,Q8W3Z3,Plants,ε + δ2
marts_E00199,Q8W3Z2,Plants,ε + δ2
marts_E00200,Q8W3Z1,Plants,ε + δ2
marts_E00201,Q8W3Z0,Plants,ε + δ2
marts_E00202,Q8W1D0,Plants,β + α1D
marts_E00203,Q8VWY4,Plants,ε + δ2
marts_E00204,Q8VWY3,Plants,ε + δ2
marts_E00205,Q8V9T7,Viruses,α3A
marts_E00206,Q8SA63,Plants,β + α1D
marts_E00207,Q8S948,Plants,α3A
marts_E00208,Q8S3A6,Plants,β + α1D
marts_E00209,Q8S3A5,Plants,β + α1D
marts_E00210,Q8RWT0,Plants,ε + δ2
marts_E00211,Q8PYS1,Archaea,α3A
marts_E00212,Q8PW34,Archaea,α3A
marts_E00221,Q8LSC3,Plants,β + α1D
marts_E00222,Q8LSC2,Plants,β + α1D
marts_E00223,Q8L5K4,Plants,β + α1D
marts_E00224,Q8L5K3,Plants,β + α1D
marts_E00225,Q8L5K2,Plants,β + α1D
marts_E00226,Q8L5K1,Plants,β + α1D
marts_E00227,Q8L5J7,Plants,β + α1D
marts_E00228,Q8K9A0,Bacteria,α3A
marts_E00229,Q8H2B4,Plants,β + α1D
marts_E00230,Q8GUE4,Plants,β + α1D
marts_E00231,Q8GSL7,Plants,ε + δ2
marts_E00233,Q84ZW8,Plants,β + α1D
marts_E00234,Q84UV0,Plants,β + α1D
marts_E00235,Q84UU9,Plants,β + α1D
marts_E00236,Q84UU4,Plants,β + α1D
marts_E00237,Q84SM8,Plants,β + α1D
marts_E00238,Q84PE3,Plants,ε + δ2
marts_E00239,Q84PE1,Plants,ε + δ2
marts_E00240,Q84ND0,Plants,β + α1D
marts_E00241,Q84NC9,Plants,β + α1D
marts_E00242,Q84NC8,Plants,β + α1D
marts_E00244,Q84LF2,Plants,β + α1D
marts_E00245,Q84LF1,Plants,β + α1D
marts_E00246,Q84LF0,Plants,β + α1D
marts_E00247,Q84LB2,Plants,β + α1D
marts_E00248,Q84KL6,Plants,β + α1D
marts_E00249,Q84KL5,Plants,β + α1D
marts_E00250,Q84KL4,Plants,β + α1D
marts_E00251,Q84KL3,Plants,β + α1D
marts_E00252,Q82RR7,Bacteria,α1G
marts_E00253,Q82IY4,Bacteria,α1G
marts_E00254,Q7Z859,Fungi,α4B + ζ
marts_E00255,Q7XYT0,Plants,α3B
marts_E00256,Q7XYS9,Plants,α3B
marts_E00257,Q7XYS8,Plants,α3B
marts_E00258,Q7XAS7,Plants,β + α1D
marts_E00259,Q7X9A3,Plants,β + α1D
marts_E00263,Q796C3,Bacteria,ε + δ2
marts_E00264,Q764T8,Plants,ε + δ2
marts_E00266,Q758K0,Fungi,α3B
marts_E00268,Q71MJ3,Plants,β + α1D
marts_E00269,Q70EZ7,Plants,β + α1D
marts_E00270,Q70EZ6,Plants,β + α1D
marts_E00271,Q6ZJL3,Plants,β + α1D
marts_E00272,Q6ZH94,Plants,β + α1D
marts_E00273,Q6Z5J6,Plants,γ + β + α1D
marts_E00274,Q6Z5I0,Plants,γ + β + α1D
marts_E00275,Q6Z2X6,Plants,ε + δ2
marts_E00276,Q6YN71,Plants,β + α1D
marts_E00277,Q6XDB5,Plants,β + α1D
marts_E00278,Q6WP50,Fungi,α1G
marts_E00279,Q6USK1,Plants,β + α1D
marts_E00282,Q6TBY0,Plants,γ + β + α1D
marts_E00286,Q6Q3H3,Plants,β + α1D
marts_E00287,Q6Q3H2,Plants,β + α1D
marts_E00288,Q6PWU2,Plants,β + α1D
marts_E00289,Q6N3F2,Bacteria,α4B
marts_E00290,Q6JD73,Plants,β + α1D
marts_E00291,Q6JD70,Plants,β + α1D
marts_E00300,Q6F5E6,Fungi,α3B
marts_E00301,Q6F596,Animals,α3B
marts_E00302,Q6ET36,Plants,γ + β + α1D
marts_E00303,Q6EJ97,Plants,β + α1D
marts_E00304,Q6EI12,Plants,α4B
marts_E00305,Q6E7D7,Plants,γ + β + α1D
marts_E00306,Q6BE25,Plants,ε + δ2
marts_E00307,Q6BE24,Plants,ε + δ2
marts_E00308,Q6BDZ9,Plants,γ + β + α1D
marts_E00310,Q67DX4,Plants,γ + β + α1D
marts_E00311,Q675L6,Plants,γ + β + α1D
marts_E00312,Q675L5,Plants,γ + β + α1D
marts_E00313,Q675L4,Plants,γ + β + α1D
marts_E00314,Q675L3,Plants,β + α1D
marts_E00315,Q675L1,Plants,β + α1D
marts_E00316,Q675L0,Plants,β + α1D
marts_E00317,Q673F9,Plants,γ + β + α1D
marts_E00318,Q672V6,Fungi,α3B
marts_E00319,Q672F7,Plants,β + α1D
marts_E00320,Q66QH3,Plants,γ + β + α1D
marts_E00321,Q66PX8,Plants,β + α1D
marts_E00322,Q65164,Viruses,α3A
marts_E00323,Q64K29,Plants,β + α1D
marts_E00325,Q5W283,Plants,β + α1D
marts_E00326,Q5UB07,Plants,β + α1D
marts_E00327,Q5SBP7,Plants,β + α1D
marts_E00328,Q5SBP6,Plants,β + α1D
marts_E00329,Q5SBP5,Plants,β + α1D
marts_E00330,Q5SBP4,Plants,β + α1D
marts_E00331,Q5SBP3,Plants,β + α1D
marts_E00332,Q5SBP2,Plants,β + α1D
marts_E00333,Q5SBP1,Plants,β + α1D
marts_E00334,Q5SBP0,Plants,β + α1D
marts_E00336,Q5MQ85,Plants,γ + β + α1D
marts_E00337,Q5KSN5,Bacteria,γ + δ1
marts_E00338,Q5KSN4,Bacteria,α1C
marts_E00340,Q5GJ60,Plants,β + α1D
marts_E00341,Q5GJ59,Plants,β + α1D
marts_E00343,Q5CD82,Plants,β + α1D
marts_E00344,Q58GE8,Animals,α3B
marts_E00346,Q56RZ3,Fungi,α3B
marts_E00347,Q55EU7,Protists,α3B
marts_E00348,Q55D85,Protists,ε + δ2
marts_E00349,Q55012,Bacteria,α1G
marts_E00350,Q54XP1,Protists,α3B
marts_E00352,Q54BK1,Protists,α3B
marts_E00353,Q54BE5,Protists,α1G
marts_E00355,Q50L36,Plants,β + α1D
marts_E00356,Q50EK2,Plants,γ + β + α1D
marts_E00357,Q4WR16,Fungi,ε + δ2
marts_E00360,Q4WEB8,Fungi,α3B
marts_E00364,Q4U3F7,Plants,β + α1D
marts_E00365,Q4U3F6,Plants,β + α1D
marts_E00366,Q4QSN6,Plants,β + α1D
marts_E00367,Q4QSN4,Plants,γ + β + α1D
marts_E00368,Q4QSN3,Plants,β + α1D
marts_E00369,Q4KSH9,Plants,β + α1D
marts_E00370,Q4JHN6,Plants,α3B
marts_E00371,Q4JHG3,Plants,β + α1D
marts_E00372,Q49SP7,Plants,β + α1D
marts_E00373,Q49SP6,Plants,β + α1D
marts_E00374,Q49SP5,Plants,β + α1D
marts_E00375,Q49SP4,Plants,β + α1D
marts_E00376,Q49SP3,Plants,β + α1D
marts_E00377,Q45220,Bacteria,α3A
marts_E00378,Q43714,Plants,β + α1D
marts_E00379,Q43315,Plants,α3B
marts_E00380,Q43133,Plants,α3A
marts_E00381,Q42698,Plants,α3A
marts_E00382,Q41771,Plants,γ + β + α1D
marts_E00383,Q41594,Plants,γ + β + α1D
marts_E00384,Q40577,Plants,β + α1D
marts_E00385,Q40322,Plants,β + α1D
marts_E00386,Q401R6,Plants,ε + δ2
marts_E00388,Q3IPL1,Archaea,α3A
marts_E00391,Q39978,Plants,β + α1D
marts_E00392,Q39761,Plants,β + α1D
marts_E00393,Q39760,Plants,β + α1D
marts_E00394,Q39548,Plants,γ + β + α1D
marts_E00395,Q38802,Plants,γ + β + α1D
marts_E00396,Q38710,Plants,γ + β + α1D
marts_E00397,Q32W37,Plants,β + α1D
marts_E00399,Q308N0,Plants,β + α1D
marts_E00400,Q2XSC6,Plants,β + α1D
marts_E00401,Q2XSC5,Plants,β + α1D
marts_E00402,Q2XSC4,Plants,β + α1D
marts_E00403,Q2XPU7,Plants,ε + δ2
marts_E00404,Q2XPU6,Plants,ε + δ2
marts_E00405,Q2WGL8,Plants,ε + δ2
marts_E00406,Q2WGL7,Plants,ε + δ2
marts_E00407,Q2WGL6,Plants,ε + δ2
marts_E00408,Q2R712,Plants,ε + δ2
marts_E00409,Q2QQJ5,Plants,γ + β + α1D
marts_E00410,Q2QLV9,Plants,α4B
marts_E00411,Q2NM15,Plants,β + α1D
marts_E00412,Q2FV59,Bacteria,α4B
marts_E00413,Q29VN3,Plants,β + α1D
marts_E00414,Q29VN2,Plants,β + α1D
marts_E00415,Q20HU7,Plants,β + α1D
marts_E00416,Q1XBU5,Plants,β + α1D
marts_E00417,Q1XBU4,Plants,β + α1D
marts_E00418,Q1PDD2,Plants,β + α1D
marts_E00419,Q1G1A4,Plants,ε + δ2
marts_E00420,Q1ERD3,Plants,ε + δ2
marts_E00421,Q1EG72,Plants,β + α1D
marts_E00422,Q1AHB2,Plants,γ + β + α1D
marts_E00423,Q12051,Fungi,α3B
marts_E00424,Q10231,Fungi,ε + δ2
marts_E00425,Q0VHD6,Plants,β + α1D
marts_E00426,Q0JF02,Plants,γ + β + α1D
marts_E00427,Q0JEZ8,Plants,γ + β + α1D
marts_E00428,Q0JA82,Plants,γ + β + α1D
marts_E00429,Q0E088,Plants,γ + β + α1D
marts_E00430,Q09152,Plants,α3B
marts_E00431,Q08IT1,Plants,ε + δ2
marts_E00432,Q08291,Bacteria,α3A
marts_E00433,Q04782,Fungi,ε + δ2
marts_E00436,Q00G37,Plants,γ + β + α1D
marts_E00439,,Animals,α1F
marts_E00440,,Animals,α1E
marts_E00441,P9WKH1,Bacteria,α3A
marts_E00444,P9WEY7,Protists,α1G
marts_E00445,P9WEY4,Protists,α1G
marts_E00446,P9WEX9,Fungi,α3B
marts_E00447,P9WEX3,Fungi,α3B
marts_E00448,P9WEW8,Fungi,α3B
marts_E00449,P9WEW2,Fungi,α1G
marts_E00450,P9WEW1,Fungi,α1G
marts_E00451,P9WEW0,Fungi,α1G
marts_E00452,P9WEV7,Fungi,α1B + α3B
marts_E00453,P9WEV6,Fungi,α1B + α3B
marts_E00454,P9WEV2,Fungi,α1B + α3B
marts_E00455,P9WEQ2,Fungi,α3B
marts_E00456,P9WEP0,Fungi,α1B + α3B
marts_E00457,P95999,Archaea,α3A
marts_E00458,P93665,Plants,β + α1D
marts_E00460,P84466,Animals,ε + δ2
marts_E00461,P80042,Plants,α3A
marts_E00463,P59287,Plants,β + α1D
marts_E00464,P57537,Bacteria,α3A
marts_E00465,P56966,Animals,α3B
marts_E00466,P55539,Bacteria,α3A
marts_E00469,P54976,Bacteria,α3A
marts_E00470,P54975,Bacteria,α4B
marts_E00472,P54383,Bacteria,α3A
marts_E00473,P53800,Plants,α4A
marts_E00474,P53799,Plants,α4A
marts_E00475,P53798,Animals,α4A
marts_E00476,P53797,Plants,α4B
marts_E00477,P49353,Plants,α3B
marts_E00478,P49352,Plants,α3B
marts_E00479,P49351,Plants,α3B
marts_E00480,P49350,Plants,α3B
marts_E00481,P49349,Fungi,α3B
marts_E00482,P49085,Plants,α4B
marts_E00483,P48450,Animals,ε + δ2
marts_E00484,P48449,Animals,ε + δ2
marts_E00485,P45204,Bacteria,α3A
marts_E00486,P39464,Archaea,α3A
marts_E00487,P38605,Plants,ε + δ2
marts_E00488,P38604,Fungi,ε + δ2
marts_E00489,P37295,Fungi,α4B + ζ
marts_E00490,P37294,Bacteria,α4B
marts_E00491,P37273,Plants,α4B
marts_E00492,P37272,Plants,α4B
marts_E00494,P37269,Bacteria,α4B
marts_E00496,P36596,Fungi,α4A
marts_E00497,P34802,Plants,α3A
marts_E00498,P33990,Bacteria,ε + δ2
marts_E00499,P33247,Bacteria,ε + δ2
marts_E00500,P29704,Fungi,α4A
marts_E00501,P27679,Fungi,α1I
marts_E00502,P24322,Fungi,α3B
marts_E00503,P22939,Bacteria,α3A
marts_E00504,P22873,Bacteria,α3A
marts_E00505,P21684,Bacteria,α3A
marts_E00506,P21683,Bacteria,α4B
marts_E00508,P14324,Animals,α3B
marts_E00509,P13513,Fungi,α1I
marts_E00510,P0DPK6,Bacteria,α1G
marts_E00511,P0DL13,Fungi,α1G
marts_E00512,P0DI77,Plants,β + α1D
marts_E00515,P0CV95,Plants,β + α1D
marts_E00516,P0CV94,Plants,β + α1D
marts_E00517,P0CJ43,Plants,β + α1D
marts_E00518,P0C9E2,Viruses,α3A
marts_E00519,P0C9E1,Viruses,α3A
marts_E00520,P0C9E0,Viruses,α3A
marts_E00521,P0C8Y0,Plants,ε + δ2
marts_E00522,P0C565,Plants,α3B
marts_E00524,P08836,Animals,α3B
marts_E00525,P08524,Fungi,α3B
marts_E00526,P08196,Plants,α4B
marts_E00527,P05369,Animals,α3B
marts_E00528,O95749,Animals,α3B
marts_E00530,O82141,Plants,ε + δ2
marts_E00531,O82140,Plants,ε + δ2
marts_E00532,O82139,Plants,ε + δ2
marts_E00534,O81193,Plants,β + α1D
marts_E00535,O81192,Plants,β + α1D
marts_E00536,O81191,Plants,β + α1D
marts_E00537,O81086,Plants,γ + β + α1D
marts_E00538,O74165,Fungi,α4A
marts_E00539,O66952,Bacteria,α3A
marts_E00540,O66126,Bacteria,α3A
marts_E00541,O65435,Plants,β + α1D
marts_E00542,O65323,Plants,β + α1D
marts_E00543,O64961,Plants,β + α1D
marts_E00544,O64905,Plants,α3B
marts_E00545,O64405,Plants,β + α1D
marts_E00546,O64404,Plants,β + α1D
marts_E00548,O59703,Fungi,α3B
marts_E00549,O53507,Bacteria,α3B
marts_E00550,O50410,Bacteria,α3A
marts_E00551,O50406,Bacteria,γ + δ1
marts_E00553,O48935,Plants,β + α1D
marts_E00554,O48666,Plants,α4A
marts_E00555,O24475,Plants,β + α1D
marts_E00556,O24474,Plants,β + α1D
marts_E00557,O24242,Plants,α3B
marts_E00558,O24241,Plants,α3B
marts_E00559,O23945,Plants,β + α1D
marts_E00560,O23909,Plants,ε + δ2
marts_E00561,O23390,Plants,ε + δ2
marts_E00562,O22340,Plants,β + α1D
marts_E00563,O22043,Plants,α3A
marts_E00564,O14230,Fungi,α3B
marts_E00566,O13284,Fungi,γ + δ1 + α1C
marts_E00569,O06728,Bacteria,α4B
marts_E00570,O06428,Bacteria,α3A
marts_E00571,O05572,Bacteria,α3A
marts_E00572,O04806,Plants,β + α1D
marts_E00573,O04408,Plants,γ + β + α1D
marts_E00574,O04046,Plants,α3A
marts_E00575,N4V6D4,Fungi,α1B + α3B
marts_E00576,,Fungi,α1B + α3B
marts_E00578,M5AW86,Bacteria,α1A
marts_E00579,M4HZ33,Plants,β + α1D
marts_E00580,M4HYP3,Plants,γ + β + α1D
marts_E00581,M4HYC8,Plants,γ + β + α1D
marts_E00582,M4HYC6,Plants,γ + β + α1D
marts_E00583,M4HY08,Plants,γ + β + α1D
marts_E00584,M4HY05,Plants,γ + β + α1D
marts_E00585,M4HXW5,Plants,γ + β + α1D
marts_E00586,M4HXU6,Plants,γ + β + α1D
marts_E00590,M2U578,Fungi,α1B + α3B
marts_E00591,M1VDX3,Bacteria,α1G
marts_E00592,M1V9Q0,Bacteria,α1G
marts_E00593,,Fungi,α1G
marts_E00594,,Fungi,α1G
marts_E00595,,Fungi,α1G
marts_E00596,,Fungi,α1G
marts_E00597,,Fungi,α1G
marts_E00598,L7XCQ7,Plants,β + α1D
marts_E00599,L0I7F9,Plants,β + α1D
marts_E00600,L0I517,Plants,β + α1D
marts_E00601,L0HP52,Plants,β + α1D
marts_E00602,L0HLH2,Plants,β + α1D
marts_E00603,L0HB77,Plants,β + α1D
marts_E00604,L0HAM7,Plants,β + α1D
marts_E00605,,Fungi,α1B + α3B
marts_E00608,K7TKS3,Plants,β + α1D
marts_E00609,K7PRF2,Plants,β + α1D
marts_E00610,K7NBZ9,Plants,ε + δ2
marts_E00611,K4LMW2,Plants,β + α1D
marts_E00612,K4L9M2,Plants,β + α1D
marts_E00613,K2SUY0,Fungi,α1B + α3B
marts_E00614,K0K750,Bacteria,α1G
marts_E00615,J9RLZ7,Plants,β + α1D
marts_E00616,J9R5V4,Plants,β + α1D
marts_E00617,J9R388,Plants,γ + β + α1D
marts_E00618,J9R1J8,Plants,α1G
marts_E00619,J9QS25,Plants,α1G
marts_E00620,J9QS23,Plants,γ + β + α1D
marts_E00621,J7LQ09,Plants,β + α1D
marts_E00622,J7LP58,Plants,β + α1D
marts_E00623,J7LMP2,Plants,β + α1D
marts_E00624,J7LJN5,Plants,β + α1D
marts_E00625,J7LH11,Plants,β + α1D
marts_E00626,J7FIX8,Fungi,α3B
marts_E00627,J3MQP7,Plants,β + α1D
marts_E00628,,Fungi,α1G
marts_E00629,I7H727,Plants,β + α1D
marts_E00630,I7GPX8,Plants,β + α1D
marts_E00631,I6XZ73,Plants,β + α1D
marts_E00632,I6RE61,Plants,β + α1D
marts_E00633,I6RAQ6,Plants,β + α1D
marts_E00634,I6R4V5,Plants,β + α1D
marts_E00635,I6QSN0,Plants,β + α1D
marts_E00636,I6QPS5,Plants,β + α1D
marts_E00637,I3WEV8,Plants,β + α1D
marts_E00638,I2N045,Bacteria,α1G
marts_E00639,I2CM69,Plants,γ + β + α1D
marts_E00640,I2CM59,Plants,γ + β + α1D
marts_E00641,B8XA41,Plants,γ + β + α1D
marts_E00643,I1ZHA5,Plants,β + α1D
marts_E00644,I1TE91,Plants,β + α1D
marts_E00645,I1S104,Fungi,α1I
marts_E00646,I1RL14,Fungi,α3B
marts_E00647,I1M2G5,Plants,β + α1D
marts_E00648,,Animals,α1E
marts_E00649,,Animals,α1E
marts_E00650,,Animals,α1E
marts_E00651,H9L9E5,Plants,β + α1D
marts_E00653,H8ZM73,Plants,γ + β + α1D
marts_E00654,H8ZM71,Plants,γ + β + α1D
marts_E00655,H8ZM70,Plants,γ + β + α1D
marts_E00656,H6WZF2,Plants,β + α1D
marts_E00657,H6VLG5,Plants,γ + β + α1D
marts_E00658,H6VLG0,Plants,γ + β + α1D
marts_E00659,H2VFR7,Bacteria,α4B
marts_E00660,H2KWF1,Plants,ε + δ2
marts_E00661,H2ELN1,Plants,β + α1D
marts_E00662,H1VQB1,Fungi,α3B
marts_E00663,G9MAN7,Plants,γ + β + α1D
marts_E00664,G9M5S9,Plants,γ + β + α1D
marts_E00666,G9M5S5,Plants,γ + β + α1D
marts_E00667,A0A9R1DUP4,Plants,γ + β + α1D
marts_E00668,G8H5N2,Plants,β + α1D
marts_E00669,G8H5N1,Plants,β + α1D
marts_E00670,G8H5N0,Plants,β + α1D
marts_E00671,G8H5M9,Plants,β + α1D
marts_E00672,G8H5M8,Plants,β + α1D
marts_E00673,G8H5M7,Plants,β + α1D
marts_E00674,G8GJ96,Plants,γ + β + α1D
marts_E00675,G8GJ95,Plants,γ + β + α1D
marts_E00676,G8GJ94,Plants,β + α1D
marts_E00679,G5CV56,Plants,β + α1D
marts_E00680,G5CV54,Plants,β + α1D
marts_E00681,G5CV52,Plants,β + α1D
marts_E00682,G5CV51,Plants,γ + β + α1D
marts_E00683,G5CV50,Plants,γ + β + α1D
marts_E00684,G5CV48,Plants,β + α1D
marts_E00685,G5CV46,Plants,β + α1D
marts_E00686,G5CV45,Plants,β + α1D
marts_E00687,G5CV44,Plants,β + α1D
marts_E00688,G5CV43,Plants,β + α1D
marts_E00689,G5CV42,Plants,β + α1D
marts_E00690,G5CV40,Plants,β + α1D
marts_E00691,G5CV38,Plants,γ + β + α1D
marts_E00692,G5CV35,Plants,γ + β + α1D
marts_E00693,G3E4M6,Plants,γ + β + α1D
marts_E00694,G3E4M4,Plants,γ + β + α1D
marts_E00695,G3CCC1,Plants,γ + β + α1D
