DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	GGPP_p
A0A5B0GM78	0.124179
A0AAE0IWX7	0.13026
A0A8J6R3N3	0.11008
A0A1S2P6Y4	0.307842
A0A2Z7CWA3	0.0496796
A0A5P8WIN9	0.0811473
A0A512RJ56	0.0673851
A0A921UC32	0.0446335
A0A9P5HP58	0.113182
F0ZD71	0.163571
A0A1L8PP56	0.0503278
A0A356Z320	0.0669778
A0A388MAX7	0.0539458
A0A1L4BQQ3	0.0422208
A0AAJ0HKL4	0.101912
I3D0E6	0.114036
A0A8J3L3L5	0.123424
A0A8B8NZF9	0.0474087
A0A7J4LEE8	0.0821662
A0A4U7AS88	0.173437
K4RAX2	0.0756096
A0A4V1XW68	0.10403
A0RY54	0.0937742
A0A8J8BXY4	0.07721
A0A177D3H5	0.110736
A0A836BK38	0.0813778
A0A924WK08	0.0690373
A0A1F9ZBH2	0.0972627
A0A1S3BX98	0.0412829
A0A968NKQ3	0.183719
A0A6A6V2U8	0.271624
A0A017T707	0.0966474
A0A3D4N910	0.0544617
A0A7C4WRA2	0.148292
A0AAE0I198	0.183034
A0AAN8MK86	0.165959
A0A1F7IFX6	0.0558832
A0A1G3AME6	0.0920628
A0A367PWW1	0.0742246
A0A1I7M278	0.141498
A0A328RF77	0.0877591
A0A836UVJ4	0.125885
A0AAN6Y5H7	0.138962
A0A7C1IJG8	0.158405
A0A0G3CG10	0.206834
A0A5B9P8W3	0.0748228
A0A151FBT9	0.124591
A0A957BUK3	0.123723
A0A955LDY0	0.142439
A0A3D3CUH9	0.044366
A0A8J8BXU5	0.118471
A0A370TL61	0.123457
A0A075GJ91	0.109335
A0A2V8PUX6	0.0739886
A0A5R8YPR3	0.0797727
A0A2V3ZTC0	0.0486197
A0AAX6DJ69	0.0416188
A0A8J2JNM3	0.630829
A0A0G1B358	0.092616
A0A3N1HZA8	0.0591747
A0A8X8WPB2	0.0481943
A0A8J2KSA0	0.466784
A0A954SEM1	0.162304
A0A534KA55	0.0940843
A0A8H6XAF3	0.126641
A0A8J4LK58	0.0556212
A0A2E4EFW8	0.0660487
A0A7K4IJP5	0.0978061
A0AA43XJG0	0.0556015
A0A972ZSN7	0.0592065
A0A7Y7E8H2	0.0811796
A0A1S1YV72	0.067739
A0A9D6Y9I8	0.101511
A0AAQ3U9W3	0.053221
A0A316EVJ7	0.0733081
A0A7J5UXX0	0.0754574
A0A917J202	0.0707173
A0A2K3CQ58	0.052185
A0A850PX55	0.0272132
A0A8H6YUL7	0.139663
A0A2S6C3T5	0.15108
A0AAP0EQI6	0.0446712
A0A1Q5KBG0	0.0808211
A0AAV9NWN9	0.418816
A0A1Q3BMD6	0.0437999
A0A7Y6MCJ7	0.0921152
A0A265Q7S0	0.0477134
A0A7X1HL02	0.0641398
A0A0F7ZFG5	0.0644443
A0AAN6S9X9	0.135803
A0AAE8N6U6	0.114469
A0A6I9UXZ5	0.0456719
A0A3E3IX31	0.0536419
A0AAD4CWX3	0.303962
A0A2H4UTS0	0.134777
A0A7X9JA85	0.0550508
A0A819R3I3	0.0421462
A0A9X0BC34	0.154158
A0A532T2U8	0.0815194
A0A1J5RY00	0.0610528
A0A4U0TN37	0.0896266
A0A9X0AUX0	0.197534
A1ZZ28	0.0780677
A0A932JYY9	0.042578
A0A2G5HRD5	0.184061
A0A2T2N309	0.139685
A0A9Q8QK69	0.136112
A0A1Q7NKG2	0.121022
A0A9N9LDX7	0.128039
A0A7C3XHT6	0.124308
A0A3D5NSC3	0.0495712
A0A420P5S4	0.131671
A0AAW1YLL9	0.0458476
A0A3M7MFL5	0.127915
A0A150PSJ5	0.178011
A0A9W9ICF8	0.332072
A0AAD4CLB1	0.15233
A0A4Q4V082	0.111812
A0A7H8R269	0.117075
A0AA40DP84	0.12693
A0A8J7L0E5	0.0548504
A0A3G1B411	0.106115
A0A7J3XKB6	0.12814
A0AAV9WAS7	0.181388
A0A9W8YIN3	0.120881
A0A7T7KTS5	0.136459
A0A5S9IM99	0.219805
A0A1V6PBT9	0.195574
A0A937FFW6	0.0388522
A0A1L9NF15	0.184487
A0A7C1EVZ1	0.138709
A0A4Y7IMZ6	0.0428104
A0A161PCZ3	0.161737
G8TA11	0.0737707
A0A931KKL4	0.0932178
A0A1S3TE60	0.0450856
A0AAU4S5S7	0.0698782
A0A7J6Q3Q9	0.0567117
A0AAD4D271	0.0855887
A0A1J0KS35	0.0596106
A0A964YJW6	0.0830926
A0A8T3WF21	0.0683576
A0A1F7YPZ2	0.103371
A0A1H8T7Q5	0.0663432
A0A925BVS9	0.0453907
M2TYD8	0.13052
A0A534L1E5	0.0881518
A0A5N6D605	0.135632
A0A8J2KSX0	0.576318
A0AAU3FN81	0.0687636
A0A1F5G6X2	0.0905811
A0A3M9ZHN5	0.0972077
R0IDG4	0.114595
A0A8T3NCP5	0.101993
A0A317VCP2	0.207082
F3KKW4	0.101059
A0AAV9MWT3	0.132325
A0A0N0B3U9	0.0868614
A0A2N2P0S7	0.0467599
A0A2M6Z323	0.164947
A0A958ZQR5	0.0720923
A0A2N3HZD0	0.05483
A0A8J7Y4N4	0.132237
A0A847PSM8	0.132865
A0A8J8FHC4	0.0729336
A0A1F6VNW7	0.0726682
A0A0G0TQD0	0.0674651
A0A6A7LAR5	0.113836
A0A1L9RXI0	0.188463
A0AAD6GQ70	0.145676
A0A6A5UCJ1	0.123061
A0A8J7XT75	0.212471
A0A9E1QB38	0.0546604
A0A848WYT6	0.0711882
A0A0G2FYU1	0.182489
A0A843CKU0	0.174223
A0A7M1PZB0	0.0505317
A0AAD8TKV9	0.0458846
A0A564Q8U0	0.0898508
A0A197JKB3	0.23627
A0A2G4GKA0	0.0671345
A0A7Y3FB38	0.0533872
V6KA23	0.0717733
A0A7S1CP13	0.13666
A0A150FV05	0.0554787
A0A835XW50	0.0489179
A0A534IZH1	0.0869769
A0A818CZ14	0.0456651
A0A534K398	0.0835775
A0AAE0LFW0	0.0623382
A0AA37LVC8	0.135313
A0A074Y838	0.139387
A0A5B2YZ12	0.10366
A0A7V9LBC5	0.0879698
A0A661ZUN7	0.104441
A0A955PXD4	0.16666
A0A9W6S0K0	0.156807
A0A919SR20	0.131032
A0A8H5D1Z9	0.119552
A0A813XYE2	0.0511962
A0A3D1KX55	0.054527
A0A931BWY3	0.0942456
A0A3M1LJT5	0.0943426
A0A2N8MLB9	0.0783243
A0A948UI18	0.183338
A0A9D7TT80	0.0585938
A0A1H1R5Y9	0.0599431
A0A814MQF4	0.0495248
A0A0K1EM95	0.131626
S3D7Y6	0.119604
A0A0K8PW03	0.0646728
C5FNJ1	0.161686
A0A6A7AQS4	0.173008
U2NAG0	0.0416359
A0A384JQC9	0.119953
A0AAE0NUQ2	0.142199
A0A9P6S7A0	0.232688
A0A1Q7YTG4	0.162455
A0A8J6XS63	0.0612979
A0A450SFA8	0.198867
A0AA40BZY6	0.167158
A0A9P5VGI0	0.292006
A0A6N6RGS7	0.0663419
A0A969X7L7	0.0524328
A0A0G4EYS2	0.298265
A0AAN7BDB6	0.108125
A0A318CV38	0.118999
A0A7Y1VX50	0.0746845
A0A949DZY7	0.0913667
A0A1F9FEP5	0.0929788
F7KLQ2	0.0505252
A0A976PSJ7	0.0536221
A0A5N6T1W8	0.126364
A0A959B1V6	0.0799629
A0A9N9KSZ4	0.189238
A0A2H1EGH4	0.131707
F9XLZ9	0.112531
A0A9W9FCS2	0.148626
A0A945VCM9	0.0590569
A0A9X3XDJ5	0.119417
A0A1F7R6W9	0.0970581
A0A9N9LXD5	0.643537
A0A4U1IQM3	0.105034
A0A484IBD7	0.122278
A0A1F4RI67	0.0422628
A0A961I768	0.0413718
A0A534M8W2	0.120945
A0AAD8LH72	0.0398854
A0A662BZ16	0.0557068
A0A9W9LHY4	0.163649
A0A1M4M9K3	0.0513035
A0A1F5YUD2	0.065287
A0AAV5GWM0	0.0532689
A0A935E2H9	0.21396
A0A835SIX7	0.109353
A0A1Q8CXS1	0.0746013
V4J0X8	0.161947
B5H2T1	0.123114
A0A3B9UNX1	0.0626102
A0A8J5WT62	0.0549577
A0A0G1UC63	0.0733445
A0A5M3Z5M1	0.142621
A0A835W3G2	0.0524783
A0A1G9F1C6	0.0485952
A0A2D3UP43	0.12675
W9AQ76	0.0870975
A0A419W5A6	0.0483131
A0A3D6CGS2	0.0685233
L1P1Y9	0.0771684
A0A5B8VEX1	0.0750975
A0A8T4BV78	0.0977558
A0A7X8JFF5	0.057771
A0A6A6DX92	0.180084
A0A8J8BX03	0.10141
A0A8J5NGN9	0.192286
S3BGH6	0.0850417
A0A959QGM9	0.0580281
A0A7X1MCQ6	0.0718741
A0A1G6U366	0.0813486
A0A654LYS7	0.0928607
A0A9J6NXH4	0.0621027
A0A397TYN6	0.212161
A0A2S7PPE1	0.129054
A0A5N5Q210	0.107437
A0A1H7WJN1	0.0687746
A0A370LK89	0.113981
A0A946QSK5	0.0494389
A0A9P9S7F1	0.178374
A0A2V5X3K7	0.0791079
A0A8T5AP45	0.179282
A0A5K7SEJ2	0.0458027
A0A1R3RGK6	0.110773
A0A6B1FFX1	0.108198
A0A942S641	0.06594
A8YBZ0	0.0599708
A0A1D1XHM1	0.0408365
A0A523YJB8	0.0742398
A0A059B7H8	0.0453781
A0A4Z1HPE7	0.146588
A0A949XT10	0.107541
A0A0C1UKD5	0.0541299
F0YXG7	0.0641875
A0A2V1BR27	0.158362
A0A3N4M9R3	0.0605452
A0A1B8GS38	0.0904631
A0A8H6Y0L0	0.131069
A0A2A2HPD2	0.17885
A0A522REQ7	0.0557321
A0A3N5SBP6	0.103715
A0A4Z0ZC59	0.191956
A0A814VJ14	0.0457719
A9GGD0	0.0768822
A0A959Q4D7	0.0983292
A0A7X7UL22	0.0824523
A0A5B8YLB8	0.0530282
A0A0E9N6G9	0.0788952
A0A932NYT8	0.0877408
A0A3D5AQK0	0.150916
A0A842M0P2	0.120426
A0A942RTW0	0.0589818
A0AAU1BM03	0.0717306
A0A401QV78	0.0847279
A0A7W7C8W6	0.0865956
B3T924	0.106528
E3RWS4	0.114762
A0A0D3EGH7	0.0406655
A0A2K2FQ38	0.0495868
A0A2C5Z2E7	0.208734
A0A9P9XTS2	0.183158
A0A818BBL0	0.0492035
H6LF25	0.0519369
A0A291QRE4	0.063253
A0A7J2YC83	0.109504
A0A4Q5U4B8	0.0902667
A0A814RZ67	0.0486604
A0AAW0A2Q2	0.128239
A0A1A9I0W5	0.0594885
A0A970J194	0.0483789
A0A959RY73	0.0786085
A0A814WG20	0.0461998
A0A662I836	0.0476508
A0A950RQ96	0.143081
A0A936UWD6	0.0601768
A0AAD9Z2F4	0.174089
A0A093ZWX0	0.129332
A0A1Q7PF01	0.11267
A0A0G2I0Z4	0.222652
A0A395HAY6	0.18901
W9Z3U4	0.170066
A0A8H6RPV1	0.127169
A0A8J2I6E8	0.162294
A0A4P5TC99	0.0725044
A0AAD7DJC7	0.145007
A0A0G2HTT8	0.185348
A0A959GUC4	0.0717424
A0A1Q9MS14	0.0850589
A0A356F5F7	0.0260609
A0A022QUN2	0.0553415
A0AA48LCX7	0.0665745
A0A8J8BUX3	0.133284
A0A537EJD0	0.195267
A0A951SCP9	0.0775033
A0A959HPD1	0.0886451
A0A229X4H3	0.159323
A0A6J1C599	0.0447196
A0AAE0LGC9	0.0584627
A0A1Y1CI58	0.0495453
A0A1S4BPS2	0.0413289
A0A2G6GBF8	0.0476342
A0A0T5ZFU2	0.0991955
A0A3B9I7W2	0.0547296
A0A949XRL7	0.049902
A0A449BL58	0.0677502
A0AAW9S5E9	0.0654292
A0A3N5Y9J9	0.0587438
A0A517ZF24	0.150124
A0A8G1RBF0	0.13819
A0A395I0H0	0.0914992
A0A534MI49	0.084755
A0AAD7AEK1	0.129269
A0A9Q8Z963	0.131207
A0A975JVR2	0.16758
Q5NEN5	0.0462461
A0A3M9ZVL5	0.0964435
A0A534LEN8	0.0897523
A0AAE1C723	0.152579
B6QE04	0.12332
A0A0A2SRZ6	0.163733
A0A2V6CF99	0.0826342
A0A8T7JU97	0.0618401
A0A1G5FTL3	0.0506537
A0A7C7AGT6	0.049912
M2U421	0.115698
A0A1D1ZWE6	0.0650734
A0A9D6ZFR1	0.0760441
A0A7C4JUD2	0.0808249
A0A835XJI8	0.111758
A0A9R1NXD4	0.0493943
A0A6I6K500	0.0463716
A0A2R7Y1V9	0.119913
A0A8H3URY3	0.130236
A0A6N2SJE6	0.0707086
A0A820C6Y4	0.0505071
A0A7K4MXE0	0.110006
E1ID35	0.151391
A0A345JSW1	0.0473285
A0A822BDV8	0.0452623
A0A350YZ16	0.0460968
A0A8J3RR72	0.0950653
A0A850SL81	0.133468
A0A386HQ99	0.0381211
A0A1F5A4P1	0.0557504
A0A094ITP4	0.124122
A0A7Y3H443	0.0897548
A0A941CNU5	0.0432292
A0A932PI25	0.146574
E2SM51	0.0628028
A0A318YEX8	0.161076
A0A534L8I5	0.127036
A0A4Y8CX15	0.131532
A0A2M7TSD8	0.0513369
A0A949K0E9	0.0743621
A0A2H3FSP9	0.184339
A0A9Q0AIE4	0.143257
A0A8H5DNH1	0.185132
A0A1L9S1A3	0.193889
A0AAP0N1M1	0.0371967
A0A9P9WB49	0.114438
A0A3B6C7V5	0.0516898
A0A8T7GJ49	0.116196
A0A3N5S0M5	0.0423438
A0A2N9L3F3	0.0512164
A0A7C8IMP0	0.131088
A0A4P5YQV8	0.105826
A0A803PE27	0.0413963
A0A395NWC3	0.145393
A0A2T0BAU4	0.0513429
A0A2J6I8N4	0.0626764
A0A1G2FN63	0.0933135
A0A0G2F937	0.176025
A0A8J2P3K2	0.548699
A0A653G212	0.0722962
A0A9P3BRQ6	0.0966502
A0A814RZ73	0.0517744
A0A9X4BJD0	0.0689681
A0A6G2KUC1	0.110665
A0A7J4RWA2	0.123338
A0A1Q7MPH8	0.198685
A0A8J5FAB0	0.0436927
E6N4G2	0.134915
A0A925UNE3	0.0480473
A0A2V8RDL1	0.0816306
A0A929GIQ9	0.0451987
A0A534JTD5	0.143301
A0A819NSV9	0.0391522
A0A1I7GSV9	0.0528769
A0A8S9DVI3	0.0554555
A0A0E3SH12	0.22163
M7TSX6	0.138184
L1KQT8	0.147828
A0A1M6PLQ2	0.0540717
A0A534JSV4	0.0908491
Q0V0A0	0.106046
A0A1Q3H2G0	0.082355
A0A9P9WA47	0.106718
A0A925IT35	0.0643487
A0A3C2DA41	0.0442324
A0A7C6Y0D2	0.036802
A0A381YE87	0.0968773
A0A5N6U9K3	0.109746
A0A849Z9L2	0.120682
A0A9E0F3S1	0.0741755
A0A317WYD1	0.101323
A0A0G0T4X3	0.0697444
A0A3B9ZM74	0.0481738
A0A429I1W2	0.228337
A0A9P9MTS7	0.121391
A0A2G2Y5C5	0.0434177
A0A7X8MT01	0.0568369
A0A7W1NXB3	0.158539
A0A8J2JCY2	0.571654
A0A661PDB7	0.0793941
A0A7W0G5X8	0.0761356
A0A3D0VQA5	0.0489459
A0A1V5LKI6	0.0482352
A0A397WA44	0.307541
A0A2J6IB45	0.068476
A0A1N5W510	0.0662218
M8ALX3	0.0417007
A0A1F9ZFB0	0.0997885
A0AA39TW75	0.178976
A0A0E3SJJ9	0.226907
A0A1V6RZU5	0.1268
A0A970Z8K5	0.0650247
I1MYQ6	0.0445037
A0A1J7IJ21	0.139526
A0A2L0F576	0.196552
A0A7D5M834	0.114053
A0A6G8MX44	0.0816867
G3XWQ6	0.129739
A0A662XU89	0.0767526
A0A1J5I442	0.129566
A0A6P6TKP1	0.0414166
V6AU54	0.115816
A0A9Q0GMC1	0.0471563
A0A0C5BQ82	0.115745
A0A954JLP7	0.194493
A0A9X3AL34	0.147636
A0A2N2CL51	0.047798
A0A355D7Y7	0.0503802
A0A923HZF7	0.0536166
A0A7X7VG90	0.059962
A0A1Y2ET84	0.0595214
A0A6L3ZG46	0.0616574
A0A520KY90	0.0889824
A0A9W9F2U8	0.127638
A0A537FJG5	0.191061
A0AAI8PRU9	0.143313
A0A2E2XYA0	0.0588696
A0A8S2RYQ9	0.0391988
K0IC41	0.136005
A0A2Z4Y032	0.044899
A0A2H0W7N1	0.210554
A0A097EP79	0.0451733
A0A2V1E5A8	0.145304
A0A9P9WHT8	0.184079
A0AAD6E5M4	0.169429
A0A534IYU1	0.143584
A0A7J4CQM8	0.0952359
A0A7X7ZUI5	0.0466592
A0A8H5YKE8	0.0939947
A0A358S6F6	0.0514062
A0A534LQN8	0.0938625
A0A0F4GE55	0.143306
A0A3P6CZX7	0.0405442
A0A7W9PG21	0.160759
A0A2N2VT92	0.0402924
A0A440IVB6	0.0810963
A0A1M6JAJ2	0.0589506
A0AAV9GAZ4	0.172204
A0A959K078	0.0696228
A0A931GYL4	0.0643201
A0A4Z0FUB0	0.0796354
A0A922ND47	0.130683
A0A9Q8PJV8	0.13
A0A975S9G4	0.0883372
A0A1H9S2S6	0.141574
A0A7W7CES7	0.0749409
A0A938QXH5	0.0874831
A0A533UAR2	0.102645
A0A1M5QYT9	0.0470514
A0A497DAD9	0.0665619
A0A8J2KHU9	0.624167
A0A976X9Y4	0.0565174
A0AAV9W0Y7	0.140084
A0A5N6TY51	0.201595
A0A193BV54	0.0829451
M7T7U2	0.0994886
R9C645	0.0537405
A0A017T4P0	0.126378
A0A7X7AAN1	0.0444401
A0A6N7P0V2	0.0760805
A0A1U8K8F7	0.0475408
A0A8J8BWA7	0.113592
A0A7C5MI77	0.0406737
A0A3N5UWI8	0.0473667
A0A958XKH5	0.074529
A0A2N2EZC9	0.131696
A0A3B9T7E3	0.0712989
A0A5M3YXD3	0.181402
A0AAD6ZEU8	0.139089
A0AAU8HS06	0.066746
A0A7C6IYL6	0.058868
A0A534IKH2	0.117992
A0A2P0VN22	0.0895996
A0A3D5YVG1	0.0434929
A0A1M7XWY2	0.0523164
A9NHI0	0.0504474
A0A9J7BSY3	0.0505919
A0A9X0BD86	0.131419
A0A434AWH4	0.050628
A0A932LET1	0.149967
A0A1F6CPF9	0.0922234
A0A6I0F856	0.0461295
A0A3S3NCK6	0.0457909
A0A3C0RCR6	0.0629574
A0A6J1JA44	0.0420181
J3PEC2	0.0903925
A0A0G0L667	0.060226
A0A2G6RBG3	0.0484163
A0A8J3L562	0.131217
A0AAV9GGH1	0.147802
A0A7Y3BS44	0.0734531
A0A1Y2MAW7	0.127662
A0A814NHJ7	0.042443
A0A087SRI6	0.0515021
A0A935Z7R4	0.0864565
A0A218VZC7	0.0385735
A0A975K135	0.227197
A0A9W7T0T2	0.113853
A0A0H3DHB6	0.115646
A0A151EZ24	0.11117
A0A2N2BN85	0.0550972
A0A835WMA9	0.0571033
A0AA40VTU3	0.0584202
A0A974XDT1	0.0444605
A0A8J5XTU4	0.0484686
A0A3E0PZE2	0.159582
A0A1F5LCU4	0.204377
B6TZQ0	0.0511669
A0AA38XE48	0.166372
A0A7G9GKB4	0.0615526
A0A0F2T6J0	0.089835
A0A3N9NLI0	0.0483269
A0A1Y2V2U5	0.124092
A0A3N5RP24	0.128126
A0A5E4LVG6	0.121577
A0A918GRN6	0.082002
A0A819J962	0.0640996
A0AA51R556	0.04895
N9WMZ7	0.0604062
A0A1J5HDL7	0.0770857
A0A9E6F938	0.0466525
A0A3C2A6P8	0.0656101
B0U0H2	0.0378419
A0A942FAJ3	0.122499
A0A1I7NGK0	0.0692611
A0A7Y3A7N7	0.0783742
A0A1I0RY35	0.0595257
A0A7K2YD55	0.117752
A0A4Q1ZYL4	0.0545752
Q0CZT9	0.144598
A0A9Q0HW57	0.0480172
A0A1M6K7C6	0.0515161
A0A534J6E9	0.115489
A0A5B9W5B9	0.064858
A0A846NKI6	0.11171
A0A0T0M2L0	0.083938
A0A9W9INU2	0.136781
A0A3Q9FK52	0.055988
A0A1H8MBQ2	0.138619
A0A951F388	0.0569152
A0A2M8JTI2	0.0760408
A0A8J3HTY4	0.145174
A0A8J7XS31	0.0685539
A0A930UR48	0.0374179
A0A0D2EX40	0.130603
A0A814XX28	0.042019
A0A833RF65	0.0452729
A0A8G0PW25	0.291283
A0A522STR5	0.0566845
M7TBC3	0.178594
A0A9P5UL05	0.0928162
A0A955V3R7	0.154352
A0A815AY39	0.0685054
A0AAV9N2X8	0.0986827
A0A832TC90	0.10424
A0A2P5EZF5	0.0371145
A0A533U7B7	0.111275
A0A835X7M5	0.102055
A0A842Q332	0.153225
A0A951JRQ0	0.0970184
A0A2N9M728	0.0428743
A0A9D4Z019	0.0598037
W0F343	0.0560005
A0AAV6C737	0.0460743
A0A2E0MFC0	0.0686928
A0A2D5UJS3	0.0576456
A0A522WYX2	0.122511
A0A835WYY6	0.116229
A0A7W4EAP4	0.0653748
A0A2P5HR42	0.132443
A0AA88QVQ5	0.0406479
A0AAJ4TL78	0.0381088
A0A7Y1YCA1	0.0818849
V7I827	0.053648
A0A151F9U9	0.098159
A0A6N7XY38	0.0463196
A0AA40A7I0	0.149938
A0A936GUW9	0.0927702
A0A1F9ZDK8	0.0871644
A0A9D2NEH7	0.0521647
A0A317WJU0	0.222506
A0A955L6M0	0.117358
A0A7Y9PFL2	0.100969
A0A2G9Z049	0.146381
A0A4T0VRS3	0.106226
A0AA39YSI9	0.170147
A0A0G0MXU4	0.10254
A0A8H6Y0C5	0.133964
A0A956QCW0	0.0674202
A0A0E3PBJ9	0.182506
A0A8H6LNZ7	0.18167
A0A2D0NAH2	0.0498033
A0A9W9WHX4	0.251039
A0A5E4I9B1	0.211369
A0A226DI62	0.210982
A0A5B8VCF3	0.050825
A0A8J8KK02	0.133265
A0A9X3F2H0	0.0490826
A0A1V4IR00	0.0651556
A0A7W7FT56	0.146178
A0A2E6SYZ7	0.0774309
A0A8K0LW47	0.124391
A0A5M8SQJ6	0.0575277
A0A6P4AXI3	0.040109
A0A6A5S6V9	0.204898
A0A495PW84	0.0680943
A0A3N9PIU6	0.0467614
A0A3N5KZV7	0.0507975
A0A932G5R0	0.0598377
A0A6N7Q681	0.075261
A0AA43BU68	0.0773484
A0A1Q7MFF6	0.20511
A0A1F3MAV2	0.0609417
A0A9Q9EML8	0.0968094
A0AAW1QNW5	0.0553157
A0A9D7TUJ2	0.0624687
A0A821N0S2	0.0521116
A0A1I1JAY4	0.0499057
A0A4Y3QZ16	0.0849372
A0A250I8A8	0.061608
A0A8J7Y590	0.102209
A0A7C1EIM8	0.125364
A0A2J6IIN5	0.0728892
A0A0F7ZGG8	0.239288
A0A804KZY9	0.04264
A0A6M0H9I7	0.0483659
A0A318YY84	0.158948
A0A743SPB3	0.0909822
A0A7Y2HKG6	0.101147
A0A415I5V1	0.102011
A0A2J6SXA7	0.165953
A0A1E7JMT8	0.0788606
A0A150SSY0	0.116072
A0A1B8ETF3	0.121094
A0A017T584	0.089428
A0A073CFE2	0.078735
A0A971DY67	0.0464508
A0A6G1LWV5	0.164509
A0AAV1I816	0.0507572
A0A4Q3UTC5	0.0488576
A0A6A6DZV1	0.14608
A0A553GR34	0.0592677
A0A1L9MSP5	0.13598
A0A061AFM7	0.0453521
A0A1E2WP66	0.0770175
W9HGE8	0.113079
K2BT53	0.0999701
A0A0M9WKX4	0.152772
A0A814GTZ8	0.056005
A0A8S0RED7	0.0454233
A0A7L5C9A7	0.0546074
A0A2T7CVP2	0.0516763
A0A6A6KVE3	0.0432812
A0A534L5D8	0.120208
A0A4R3H127	0.145232
A0A7M4D2U4	0.0550319
A0A5C6ZP13	0.0578333
A0A4P9A3L2	0.0450468
B2WQ91	0.133076
A0A1F7WH91	0.0668597
A0A8T4DYH9	0.109376
A0A955KX52	0.113167
A0A8H3SRK5	0.0644686
A0A1E7GF31	0.19758
A0A2V8RAG5	0.0577862
A0A8T7GBV5	0.116253
A0A7C6JYH5	0.0591445
A0A1H7JSW9	0.049273
A0A9X2VFU4	0.125233
A0A8T7FCQ4	0.179432
A0A3M1CV91	0.0848515
A0A524HVY6	0.0539113
A0A6D2IPX7	0.0449604
A0AAN7UHU2	0.166748
A0A6P5GSG1	0.0510873
A0A1D8TTA1	0.063174
A0A137NY97	0.246413
A0AAD7E0U8	0.269941
A0A4Z0Z784	0.175468
A0A8J2P8V8	0.360516
A0A5B7X7V1	0.0564107
A0A9P9DM28	0.113986
A0A2P5P4R7	0.0529133
A0AAN6V6L2	0.13575
A0A2Z4W8H9	0.05959
