DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Phylo distance to closest MARTS-DB
A0AAN6Y5H7	4.67181
A0A7C1IJG8	4.11704
A0A0G3CG10	5.4999
A0A5B9P8W3	5.52097
A0A151FBT9	5.8761
A0A957BUK3	4.3
A0A955LDY0	4.7718
A0A3D3CUH9	5.69501
A0A8J8BXU5	5.90857
A0A370TL61	4.86962
A0A075GJ91	3.46875
A0A2V8PUX6	5.24765
A0A5R8YPR3	4.26858
A0A2V3ZTC0	5.09884
A0AAX6DJ69	4.81547
A0A8J2JNM3	6.11242
A0A0G1B358	2.95869
A0A3N1HZA8	3.07914
A0A8X8WPB2	5.32987
A0A8J2KSA0	6.60042
A0A954SEM1	5.11394
A0A534KA55	5.26377
A0A8H6XAF3	5.38895
A0A8J4LK58	4.78281
A0A2E4EFW8	5.3951
A0A7K4IJP5	5.68369
A0AA43XJG0	5.05426
A0A972ZSN7	4.42197
A0A7Y7E8H2	4.45513
A0A1S1YV72	5.30319
A0A9D6Y9I8	5.20849
A0AAQ3U9W3	4.94038
A0A316EVJ7	6.48576
A0A7J5UXX0	4.39962
A0A917J202	5.80829
A0A2K3CQ58	4.87848
A0A850PX55	4.95126
A0A8H6YUL7	4.67981
A0A2S6C3T5	5.91471
A0AAP0EQI6	4.49067
A0A1Q5KBG0	1.89557
A0AAV9NWN9	1.85451
A0A1Q3BMD6	4.62894
A0A7Y6MCJ7	4.27822
A0A265Q7S0	4.42562
A0A7X1HL02	3.40998
A0A0F7ZFG5	4.19548
A0AAN6S9X9	0.980236
A0AAE8N6U6	4.80456
A0A6I9UXZ5	4.97771
A0A3E3IX31	4.92339
A0AAD4CWX3	3.85218
A0A2H4UTS0	3.05337
A0A7X9JA85	4.82311
A0A819R3I3	5.13933
A0A9X0BC34	6.5773
A0A532T2U8	4.89321
A0A1J5RY00	5.57335
A0A4U0TN37	5.11477
A0A9X0AUX0	1.52809
A1ZZ28	5.29034
A0A932JYY9	6.85864
A0A2G5HRD5	5.90057
A0A2T2N309	5.13705
A0A9Q8QK69	3.66661
A0A1Q7NKG2	3.56601
A0A9N9LDX7	4.56522
A0A7C3XHT6	5.70588
A0A3D5NSC3	5.08827
A0A420P5S4	5.00105
A0AAW1YLL9	4.82891
A0A3M7MFL5	5.07978
A0A150PSJ5	4.98845
A0A9W9ICF8	4.8634
A0AAD4CLB1	6.38542
A0A4Q4V082	3.32108
A0A7H8R269	4.50805
A0AA40DP84	4.64169
A0A8J7L0E5	4.95923
A0A3G1B411	3.46301
A0A7J3XKB6	5.78238
A0AAV9WAS7	4.93773
A0A9W8YIN3	4.9583
A0A7T7KTS5	5.17396
A0A5S9IM99	4.6435
A0A1V6PBT9	4.28046
A0A937FFW6	4.81791
A0A1L9NF15	5.13304
A0A7C1EVZ1	4.89171
A0A4Y7IMZ6	4.77897
A0A161PCZ3	4.09679
G8TA11	5.66567
A0A931KKL4	4.74231
A0A1S3TE60	4.77234
A0AAU4S5S7	4.29393
A0A7J6Q3Q9	3.40376
A0AAD4D271	2.15924
A0A1J0KS35	4.62037
A0A964YJW6	5.40008
A0A8T3WF21	3.52802
A0A1F7YPZ2	3.69023
A0A1H8T7Q5	4.37542
A0A925BVS9	4.84205
M2TYD8	5.17203
A0A534L1E5	5.25553
A0A5N6D605	6.30355
A0A8J2KSX0	6.32387
A0AAU3FN81	6.24163
A0A1F5G6X2	5.05247
A0A3M9ZHN5	3.90661
R0IDG4	5.09728
A0A8T3NCP5	2.68935
A0A317VCP2	2.21975
F3KKW4	3.45087
A0AAV9MWT3	5.16359
A0A0N0B3U9	7.29888
A0A2N2P0S7	4.40429
A0A2M6Z323	4.09846
A0A958ZQR5	4.2846
A0A2N3HZD0	5.19915
A0A8J7Y4N4	5.85521
A0A847PSM8	5.44007
A0A8J8FHC4	5.4696
A0A1F6VNW7	5.05993
A0A0G0TQD0	4.18734
A0A6A7LAR5	3.6993
A0A1L9RXI0	6.59688
A0AAD6GQ70	6.75526
A0A6A5UCJ1	1.25206
A0A8J7XT75	2.47819
A0A9E1QB38	2.40567
A0A848WYT6	3.75058
A0A0G2FYU1	5.38902
A0A843CKU0	4.76367
A0A7M1PZB0	4.60355
A0AAD8TKV9	4.97895
A0A564Q8U0	5.77383
A0A197JKB3	3.60258
A0A2G4GKA0	6.06698
A0A7Y3FB38	5.76601
V6KA23	4.77363
A0A7S1CP13	7.67224
A0A150FV05	5.04912
A0A835XW50	4.87562
A0A534IZH1	5.41337
A0A818CZ14	5.0846
A0A534K398	5.43815
A0AAE0LFW0	3.43238
A0AA37LVC8	5.00481
A0A074Y838	5.10395
A0A5B2YZ12	4.12363
A0A7V9LBC5	5.73147
A0A661ZUN7	5.54726
A0A955PXD4	2.83233
A0A9W6S0K0	3.90407
A0A919SR20	4.69757
A0A8H5D1Z9	4.91153
A0A813XYE2	5.11534
A0A3D1KX55	4.75215
A0A931BWY3	5.77567
A0A3M1LJT5	3.72925
A0A2N8MLB9	4.28369
A0A948UI18	3.82014
A0A9D7TT80	5.41415
A0A1H1R5Y9	5.25059
A0A814MQF4	4.76314
A0A0K1EM95	5.05003
S3D7Y6	4.92845
A0A0K8PW03	6.77774
C5FNJ1	6.6486
A0A6A7AQS4	5.64
U2NAG0	4.71788
A0A384JQC9	4.98785
A0AAE0NUQ2	5.0647
A0A9P6S7A0	3.64662
A0A1Q7YTG4	4.51235
A0A8J6XS63	5.30317
A0A450SFA8	2.07123
A0AA40BZY6	5.15463
A0A9P5VGI0	3.51328
A0A6N6RGS7	4.82412
A0A969X7L7	5.37701
A0A0G4EYS2	3.29346
A0AAN7BDB6	4.71063
A0A318CV38	3.1981
A0A7Y1VX50	5.43954
A0A949DZY7	4.8028
A0A1F9FEP5	5.29088
F7KLQ2	4.94901
A0A976PSJ7	4.22743
A0A5N6T1W8	6.38748
A0A959B1V6	5.3686
A0A9N9KSZ4	2.4688
A0A2H1EGH4	3.55465
F9XLZ9	5.33731
A0A9W9FCS2	6.56619
A0A945VCM9	5.23805
A0A9X3XDJ5	3.44317
A0A1F7R6W9	3.55665
A0A9N9LXD5	6.33741
A0A4U1IQM3	3.36092
A0A484IBD7	4.11737
A0A1F4RI67	4.48679
A0A961I768	3.11926
A0A534M8W2	4.59838
A0AAD8LH72	4.89108
A0A662BZ16	5.07782
A0A9W9LHY4	6.49327
A0A1M4M9K3	4.35242
A0A1F5YUD2	6.12953
A0AAV5GWM0	4.91391
A0A935E2H9	4.95803
A0A835SIX7	3.40668
A0A1Q8CXS1	4.32259
V4J0X8	4.06656
B5H2T1	1.87766
A0A3B9UNX1	4.26559
A0A8J5WT62	5.04169
A0A0G1UC63	4.94763
A0A5M3Z5M1	3.83406
A0A835W3G2	4.91095
A0A1G9F1C6	5.39702
A0A2D3UP43	5.27317
W9AQ76	5.69812
A0A419W5A6	4.91887
A0A3D6CGS2	5.06282
L1P1Y9	3.13109
A0A5B8VEX1	5.46187
A0A8T4BV78	5.70592
A0A7X8JFF5	4.55287
A0A6A6DX92	1.88734
A0A8J8BX03	5.93343
A0A8J5NGN9	5.21474
S3BGH6	4.24668
A0A959QGM9	5.63405
A0A7X1MCQ6	4.26674
A0A1G6U366	4.62887
A0A654LYS7	3.96737
A0A9J6NXH4	5.00082
A0A397TYN6	3.37393
A0A2S7PPE1	5.05797
A0A5N5Q210	4.84994
A0A1H7WJN1	2.61765
A0A370LK89	3.34705
A0A946QSK5	4.8968
A0A9P9S7F1	5.40714
A0A2V5X3K7	6.22704
A0A8T5AP45	5.81208
A0A5K7SEJ2	4.7696
A0A1R3RGK6	3.38036
A0A6B1FFX1	3.43122
A0A942S641	5.08204
A8YBZ0	4.18164
A0A1D1XHM1	4.91131
A0A523YJB8	5.31267
A0A059B7H8	4.83839
A0A4Z1HPE7	1.68546
A0A949XT10	5.39475
A0A0C1UKD5	4.2406
F0YXG7	4.84815
A0A2V1BR27	5.01835
A0A3N4M9R3	5.42568
A0A1B8GS38	5.33297
A0A8H6Y0L0	5.49853
A0A2A2HPD2	5.56579
A0A522REQ7	5.85408
A0A3N5SBP6	3.7517
A0A4Z0ZC59	1.94687
A0A814VJ14	5.11117
A9GGD0	3.50461
A0A959Q4D7	4.63928
A0A7X7UL22	6.44304
A0A5B8YLB8	5.34455
A0A0E9N6G9	6.2048
A0A932NYT8	3.53579
A0A3D5AQK0	3.91038
A0A842M0P2	6.08109
A0A942RTW0	5.6093
A0AAU1BM03	6.46778
A0A401QV78	6.4585
A0A7W7C8W6	5.30535
B3T924	3.47433
E3RWS4	4.92246
A0A0D3EGH7	4.92311
A0A2K2FQ38	4.14555
A0A2C5Z2E7	2.07911
A0A9P9XTS2	5.15915
A0A818BBL0	5.34547
H6LF25	4.28325
A0A291QRE4	5.75317
A0A7J2YC83	3.639
A0A4Q5U4B8	3.94288
A0A814RZ67	5.13667
A0AAW0A2Q2	5.29914
A0A1A9I0W5	5.5742
A0A970J194	4.70234
A0A959RY73	3.72031
A0A814WG20	5.40377
A0A662I836	6.27013
A0A950RQ96	4.93968
A0A936UWD6	5.14568
A0AAD9Z2F4	4.00907
A0A093ZWX0	6.52973
A0A1Q7PF01	6.18296
A0A0G2I0Z4	1.8345
A0A395HAY6	3.43655
W9Z3U4	5.25704
A0A8H6RPV1	5.31193
A0A8J2I6E8	4.9873
A0A4P5TC99	5.40879
A0AAD7DJC7	5.02098
A0A0G2HTT8	1.83059
A0A959GUC4	5.34748
A0A1Q9MS14	3.80894
A0A356F5F7	3.49952
A0A022QUN2	5.04314
A0AA48LCX7	5.28326
A0A8J8BUX3	6.07267
A0A537EJD0	4.47828
A0A951SCP9	4.19834
A0A959HPD1	4.58783
A0A229X4H3	6.53476
A0A6J1C599	4.78723
A0AAE0LGC9	3.43238
A0A1Y1CI58	5.22258
A0A1S4BPS2	4.91076
A0A2G6GBF8	5.64615
A0A0T5ZFU2	3.35477
A0A3B9I7W2	5.17671
A0A949XRL7	5.32685
A0A449BL58	4.9698
A0AAW9S5E9	5.65159
A0A3N5Y9J9	4.98742
A0A517ZF24	4.9458
A0A8G1RBF0	6.68717
A0A395I0H0	6.21844
A0A534MI49	6.22196
A0AAD7AEK1	5.0975
A0A9Q8Z963	5.21075
A0A975JVR2	4.92136
Q5NEN5	4.8077
A0A3M9ZVL5	3.70344
A0A534LEN8	6.21777
A0AAE1C723	4.79802
B6QE04	6.34878
A0A0A2SRZ6	4.03982
A0A2V6CF99	6.3566
A0A8T7JU97	5.19666
A0A1G5FTL3	4.2619
A0A7C7AGT6	5.4057
M2U421	5.0471
A0A1D1ZWE6	5.19095
A0A9D6ZFR1	5.52125
A0A7C4JUD2	6.36943
A0A835XJI8	3.39322
A0A9R1NXD4	5.01669
A0A6I6K500	4.89667
A0A2R7Y1V9	5.90534
A0A8H3URY3	6.01327
A0A6N2SJE6	5.621
A0A820C6Y4	5.22549
A0A7K4MXE0	3.4626
E1ID35	4.76034
A0A345JSW1	4.83763
A0A822BDV8	5.21521
A0A350YZ16	4.90797
A0A8J3RR72	4.22418
A0A850SL81	3.58764
A0A386HQ99	5.94368
A0A1F5A4P1	4.46784
A0A094ITP4	5.19984
A0A7Y3H443	4.76509
A0A941CNU5	4.95094
A0A932PI25	4.715
E2SM51	4.71428
A0A318YEX8	6.69665
A0A534L8I5	4.67728
A0A4Y8CX15	1.52884
A0A2M7TSD8	6.12864
A0A949K0E9	4.84907
A0A2H3FSP9	5.18167
A0A9Q0AIE4	5.36962
A0A8H5DNH1	5.31135
A0A1L9S1A3	3.94109
A0AAP0N1M1	4.65275
A0A9P9WB49	6.61279
A0A3B6C7V5	4.99886
A0A8T7GJ49	3.70755
A0A3N5S0M5	4.31621
A0A2N9L3F3	5.49237
A0A7C8IMP0	1.57819
A0A4P5YQV8	3.43492
A0A803PE27	4.8284
A0A395NWC3	4.83867
A0A2T0BAU4	4.8122
A0A2J6I8N4	5.64851
A0A1G2FN63	5.45091
A0A0G2F937	0.405216
A0A8J2P3K2	6.48407
A0A653G212	2.40991
A0A9P3BRQ6	3.73441
A0A814RZ73	5.29735
A0A9X4BJD0	3.3813
A0A6G2KUC1	3.52145
A0A7J4RWA2	3.44973
A0A1Q7MPH8	4.76675
A0A8J5FAB0	5.0145
E6N4G2	6.25557
A0A925UNE3	4.46059
A0A2V8RDL1	5.41958
A0A929GIQ9	5.15889
A0A534JTD5	4.64741
A0A819NSV9	5.14258
A0A1I7GSV9	5.25518
A0A8S9DVI3	4.75954
A0A0E3SH12	5.38584
M7TSX6	4.72892
L1KQT8	7.08461
A0A1M6PLQ2	5.32636
A0A534JSV4	5.21221
Q0V0A0	4.97677
A0A1Q3H2G0	5.56215
A0A9P9WA47	5.25637
A0A925IT35	4.997
A0A3C2DA41	4.74815
A0A7C6Y0D2	4.21985
A0A381YE87	3.56782
A0A5N6U9K3	3.42554
A0A849Z9L2	3.75616
A0A9E0F3S1	5.25711
A0A317WYD1	3.37895
A0A0G0T4X3	5.11423
A0A3B9ZM74	4.78403
A0A429I1W2	2.5857
A0A9P9MTS7	4.84745
A0A2G2Y5C5	4.95939
A0A7X8MT01	5.00453
A0A7W1NXB3	4.24239
A0A8J2JCY2	4.10463
A0A661PDB7	5.33045
A0A7W0G5X8	5.35684
A0A3D0VQA5	4.72612
A0A1V5LKI6	4.2255
A0A397WA44	3.3987
A0A2J6IB45	5.54038
A0A1N5W510	5.66028
M8ALX3	5.02871
A0A1F9ZFB0	5.36951
A0AA39TW75	5.14466
A0A0E3SJJ9	5.36018
A0A1V6RZU5	6.48118
A0A970Z8K5	6.34625
I1MYQ6	4.70286
A0A1J7IJ21	4.83649
A0A2L0F576	5.12543
A0A7D5M834	3.41024
A0A6G8MX44	5.61881
G3XWQ6	5.09486
A0A662XU89	5.3217
A0A1J5I442	3.63256
A0A6P6TKP1	4.90918
V6AU54	3.47913
A0A9Q0GMC1	4.57931
A0A0C5BQ82	3.40315
A0A954JLP7	5.22441
A0A9X3AL34	4.70504
A0A2N2CL51	4.31297
A0A355D7Y7	4.5394
A0A923HZF7	4.26558
A0A7X7VG90	4.56165
A0A1Y2ET84	3.17899
A0A6L3ZG46	5.31308
A0A520KY90	5.81239
A0A9W9F2U8	5.00529
A0A537FJG5	4.47152
A0AAI8PRU9	6.99266
A0A2E2XYA0	5.19223
A0A8S2RYQ9	5.25606
K0IC41	3.51093
A0A2Z4Y032	4.77147
A0A2H0W7N1	5.04971
A0A097EP79	4.60626
A0A2V1E5A8	4.65729
A0A9P9WHT8	5.97444
A0AAD6E5M4	6.27467
A0A534IYU1	4.65801
A0A7J4CQM8	3.51875
A0A7X7ZUI5	4.64255
A0A8H5YKE8	5.00387
A0A358S6F6	4.93707
A0A534LQN8	5.28045
A0A0F4GE55	5.23158
A0A3P6CZX7	4.90967
A0A7W9PG21	4.13769
A0A2N2VT92	5.16609
A0A440IVB6	2.44164
A0A1M6JAJ2	4.75097
A0AAV9GAZ4	4.62282
A0A959K078	5.59819
A0A931GYL4	5.49869
A0A4Z0FUB0	4.43276
A0A922ND47	5.03794
A0A9Q8PJV8	5.14275
A0A975S9G4	5.83323
A0A1H9S2S6	5.18271
A0A7W7CES7	4.2748
A0A938QXH5	5.15839
A0A533UAR2	3.7339
A0A1M5QYT9	4.45499
A0A497DAD9	5.24229
A0A8J2KHU9	6.48397
A0A976X9Y4	2.90191
A0AAV9W0Y7	5.05726
A0A5N6TY51	3.33517
A0A193BV54	4.35232
M7T7U2	5.2472
R9C645	4.84026
A0A017T4P0	5.17497
A0A7X7AAN1	4.52423
A0A6N7P0V2	5.9813
A0A1U8K8F7	4.8158
A0A8J8BWA7	5.91747
A0A7C5MI77	4.37255
A0A3N5UWI8	4.27487
A0A958XKH5	4.00627
A0A2N2EZC9	3.60131
A0A3B9T7E3	3.79303
A0A5M3YXD3	6.49158
A0AAD6ZEU8	5.12777
A0AAU8HS06	4.68261
A0A7C6IYL6	5.13184
A0A534IKH2	5.48384
A0A2P0VN22	4.25805
A0A3D5YVG1	4.77123
A0A1M7XWY2	5.45744
A9NHI0	5.32559
A0A9J7BSY3	5.71269
A0A9X0BD86	6.30981
A0A434AWH4	5.26936
A0A932LET1	4.61036
A0A1F6CPF9	4.75667
A0A6I0F856	4.39617
A0A3S3NCK6	4.54906
A0A3C0RCR6	5.76024
A0A6J1JA44	4.83088
J3PEC2	5.35686
A0A0G0L667	5.81103
A0A2G6RBG3	4.72476
A0A8J3L562	4.02146
A0AAV9GGH1	4.75366
A0A7Y3BS44	5.37035
A0A1Y2MAW7	5.55075
A0A814NHJ7	4.93602
A0A087SRI6	5.16912
A0A935Z7R4	5.06464
A0A218VZC7	4.86992
A0A975K135	4.78238
A0A9W7T0T2	5.12348
A0A0H3DHB6	4.62866
A0A151EZ24	5.89153
A0A2N2BN85	4.31504
A0A835WMA9	4.86132
A0AA40VTU3	4.85632
A0A974XDT1	4.86007
A0A8J5XTU4	4.5353
A0A3E0PZE2	5.22708
A0A1F5LCU4	6.42667
B6TZQ0	4.96927
A0AA38XE48	4.8665
A0A7G9GKB4	4.73762
A0A0F2T6J0	1.97679
A0A3N9NLI0	4.29257
A0A1Y2V2U5	2.12506
A0A3N5RP24	5.01702
A0A5E4LVG6	3.5356
A0A918GRN6	4.85157
A0A819J962	3.39676
A0AA51R556	4.42321
N9WMZ7	4.71042
A0A1J5HDL7	5.29863
A0A9E6F938	4.2316
A0A3C2A6P8	4.47043
B0U0H2	4.80317
A0A942FAJ3	4.58673
A0A1I7NGK0	6.34713
A0A7Y3A7N7	4.79535
A0A1I0RY35	5.02509
A0A7K2YD55	3.30332
A0A4Q1ZYL4	4.99776
Q0CZT9	6.53526
A0A9Q0HW57	4.89818
A0A1M6K7C6	4.88952
A0A534J6E9	5.4102
A0A5B9W5B9	3.18973
A0A846NKI6	5.60963
A0A0T0M2L0	5.76978
A0A9W9INU2	6.4051
A0A3Q9FK52	5.40243
A0A1H8MBQ2	3.1481
A0A951F388	5.13439
A0A2M8JTI2	5.45591
A0A8J3HTY4	3.88812
A0A8J7XS31	5.89541
A0A930UR48	1.8086
A0A0D2EX40	5.00465
A0A814XX28	5.12153
A0A833RF65	4.89768
A0A8G0PW25	2.68502
A0A522STR5	5.79893
M7TBC3	1.57593
A0A9P5UL05	3.19729
A0A955V3R7	5.00743
A0A815AY39	3.10492
A0AAV9N2X8	4.69018
A0A832TC90	5.42762
A0A2P5EZF5	4.82181
A0A533U7B7	3.43279
A0A835X7M5	3.36189
A0A842Q332	3.65207
A0A951JRQ0	3.65913
A0A2N9M728	4.61418
A0A9D4Z019	5.09801
W0F343	5.9169
A0AAV6C737	4.70219
A0A2E0MFC0	3.25681
A0A2D5UJS3	5.03442
A0A522WYX2	5.74495
A0A835WYY6	3.39212
A0A7W4EAP4	5.20813
A0A2P5HR42	4.9077
A0AA88QVQ5	4.80291
A0AAJ4TL78	4.79923
A0A7Y1YCA1	4.56113
V7I827	5.06668
A0A151F9U9	5.85956
A0A6N7XY38	4.4538
A0AA40A7I0	4.58779
A0A936GUW9	4.89865
A0A1F9ZDK8	5.44377
A0A9D2NEH7	5.50145
A0A317WJU0	2.5499
A0A955L6M0	2.82082
A0A7Y9PFL2	5.60484
A0A2G9Z049	4.04581
A0A4T0VRS3	5.15088
A0AA39YSI9	4.65428
A0A0G0MXU4	6.09036
A0A8H6Y0C5	4.85928
A0A956QCW0	6.08024
A0A0E3PBJ9	5.48085
A0A8H6LNZ7	5.08284
A0A2D0NAH2	5.78235
A0A9W9WHX4	6.41398
A0A5E4I9B1	5.64097
A0A226DI62	2.11655
A0A5B8VCF3	5.67233
A0A8J8KK02	3.93445
A0A9X3F2H0	4.82581
A0A1V4IR00	5.05792
A0A7W7FT56	2.22239
A0A2E6SYZ7	3.30376
A0A8K0LW47	4.6392
A0A5M8SQJ6	5.62568
A0A6P4AXI3	4.86431
A0A6A5S6V9	6.1681
A0A495PW84	5.26351
A0A3N9PIU6	4.45152
A0A3N5KZV7	4.61765
A0A932G5R0	4.18188
A0A6N7Q681	3.44493
A0AA43BU68	5.47725
A0A1Q7MFF6	4.75177
A0A1F3MAV2	5.139
A0A9Q9EML8	5.43488
A0AAW1QNW5	4.86987
A0A9D7TUJ2	4.91758
A0A821N0S2	5.21076
A0A1I1JAY4	5.39262
A0A4Y3QZ16	7.15892
A0A250I8A8	3.50333
A0A8J7Y590	6.07937
A0A7C1EIM8	3.72538
A0A2J6IIN5	5.14403
A0A0F7ZGG8	1.58187
A0A804KZY9	4.76131
A0A6M0H9I7	4.51049
A0A318YY84	5.07055
A0A743SPB3	5.43735
A0A7Y2HKG6	4.98968
A0A415I5V1	4.25859
A0A2J6SXA7	4.49838
A0A1E7JMT8	4.12019
A0A150SSY0	3.97544
A0A1B8ETF3	5.23131
A0A017T584	5.24563
A0A073CFE2	5.15636
A0A971DY67	4.63278
A0A6G1LWV5	5.06547
A0AAV1I816	4.87575
A0A4Q3UTC5	4.89936
A0A6A6DZV1	1.74361
A0A553GR34	5.29073
A0A1L9MSP5	5.09805
A0A061AFM7	5.32318
A0A1E2WP66	5.25676
W9HGE8	4.97229
K2BT53	4.80667
A0A0M9WKX4	6.53835
A0A814GTZ8	5.41149
A0A8S0RED7	4.94466
A0A7L5C9A7	4.72433
A0A2T7CVP2	4.93414
A0A6A6KVE3	4.73792
A0A534L5D8	6.25778
A0A4R3H127	3.2033
A0A7M4D2U4	5.18828
A0A5C6ZP13	5.2329
A0A4P9A3L2	3.08607
B2WQ91	5.06982
A0A1F7WH91	5.18041
A0A8T4DYH9	4.77059
A0A955KX52	2.4076
A0A8H3SRK5	3.73959
A0A1E7GF31	5.24158
A0A2V8RAG5	5.33723
A0A8T7GBV5	3.64795
A0A7C6JYH5	5.13585
A0A1H7JSW9	5.40499
A0A9X2VFU4	4.67988
A0A8T7FCQ4	5.02435
A0A3M1CV91	1.91069
A0A524HVY6	4.23568
A0A6D2IPX7	4.88383
A0AAN7UHU2	1.59334
A0A6P5GSG1	4.64919
A0A1D8TTA1	5.26582
A0A137NY97	2.84767
A0AAD7E0U8	7.62425
A0A4Z0Z784	1.53058
A0A8J2P8V8	6.37697
A0A5B7X7V1	5.2334
A0A9P9DM28	5.12037
A0A2P5P4R7	4.56944
A0AAN6V6L2	4.71745
A0A2Z4W8H9	4.62297
A0A5C7HTK5	4.71295
A0A8J2N6H6	0.368967
A0A1V5TWY6	2.73878
A0A949XP54	5.36883
A0A938AS23	4.21804
A0A9P6JAU0	3.47136
A0A6N9NKM4	3.44634
A0A7Y5SYI5	2.86145
A0A362XLW9	5.66553
A0A972R8P6	5.00516
A0A384JQ51	1.57577
A0AAJ2TDP0	4.33314
A0A349DJ65	5.4992
A0A6P6TAW4	4.9219
A0A841CJ28	4.68529
A0A2K5AT03	3.95044
A0A2S7P8J3	5.05599
A0A815MC16	5.389
A0A522HA83	4.73327
A0A7W0J6C2	4.79141
A0A940KGD8	5.65006
A0A2N2XK15	2.24032
A0A8J5FHF1	5.10265
A0A840Q571	6.4703
A0AAN7Q789	4.8869
E5A7E2	4.95844
A0AAF1AVX0	4.85581
H2BU13	5.29686
A0A849E6P4	4.40949
A0A7X5EED4	4.91661
A0A935RS65	5.25853
A0A959M8E0	5.19988
