DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	FPP_p
A0A8J6ZZQ7	0.0290727
A0A0J9W9X8	0.10656
A0A481ZCB8	0.052052
A0A0A2JTN6	0.0811269
A0A950YB40	0.0344293
A0A7X9DPH4	0.0482598
A0A1G0AEZ5	0.036984
A0A4R4RME5	0.0332388
Q0CJ55	0.270645
A0A4Q1JN77	0.0184264
A0A0K8R002	0.0166811
A0AAJ2ADH1	0.0493079
A0A399CYD9	0.0153788
B4FH58	0.0226955
A0A060HJZ5	0.034631
A0A8J2KUV5	0.660694
A0A7U9MP07	0.0236381
A0A1C6ANR9	0.016152
A0A356AZW6	0.0168692
A0A2V1D3A7	0.0336142
A0AAU8JIN3	0.0335643
A0A6A6F8F9	0.0969463
A0A3E2VI69	0.018972
A0A370P9R1	0.0713481
A0A6G1L843	0.0874697
A0A3R7G8R5	0.0665901
A0AA49GEB9	0.0403934
A0A0G1HL56	0.0252014
A0A7M1TB34	0.028072
A0A6P4AA35	0.0215526
A0A1F7R6L2	0.030485
A0A366I6D9	0.0140456
A0AAQ3KH34	0.0209667
A0A2E4JTY2	0.0371803
A0A5J4K583	0.0237078
A0A928ZSM8	0.0307481
A0A2I4H8Z3	0.0198658
A0A1L9BGH8	0.073331
V9H8C0	0.018852
A0A5B0GM78	0.0523458
A0AAE0IWX7	0.103328
A0A8J6R3N3	0.0510568
A0A1S2P6Y4	0.116908
A0A2Z7CWA3	0.019693
A0A5P8WIN9	0.0308286
A0A512RJ56	0.0221983
A0A921UC32	0.0199693
A0A9P5HP58	0.0933687
F0ZD71	0.115016
A0A1L8PP56	0.0188873
A0A356Z320	0.0306123
A0A388MAX7	0.0216398
A0A1L4BQQ3	0.0266722
A0AAJ0HKL4	0.0748288
I3D0E6	0.0479616
A0A8J3L3L5	0.0560519
A0A8B8NZF9	0.0205836
A0A7J4LEE8	0.0412354
A0A4U7AS88	0.181917
K4RAX2	0.0249067
A0A4V1XW68	0.0741124
A0RY54	0.0311357
A0A8J8BXY4	0.0343915
A0A177D3H5	0.0736173
A0A836BK38	0.032071
A0A924WK08	0.0244097
A0A1F9ZBH2	0.0445915
A0A1S3BX98	0.0208533
A0A968NKQ3	0.0853142
A0A6A6V2U8	0.0645114
A0A017T707	0.0332096
A0A3D4N910	0.0221532
A0A7C4WRA2	0.0456434
A0AAE0I198	0.121395
A0AAN8MK86	0.104878
A0A1F7IFX6	0.0320272
A0A1G3AME6	0.042899
A0A367PWW1	0.0288837
A0A1I7M278	0.0714602
A0A328RF77	0.0500263
A0A836UVJ4	0.0590117
A0AAN6Y5H7	0.109687
A0A7C1IJG8	0.0701809
A0A0G3CG10	0.135655
A0A5B9P8W3	0.0331218
A0A151FBT9	0.0416517
A0A957BUK3	0.0576626
A0A955LDY0	0.0197009
A0A3D3CUH9	0.0253867
A0A8J8BXU5	0.0387553
A0A370TL61	0.0887694
A0A075GJ91	0.0392702
A0A2V8PUX6	0.0445967
A0A5R8YPR3	0.0247813
A0A2V3ZTC0	0.0200144
A0AAX6DJ69	0.0219505
A0A8J2JNM3	0.496949
A0A0G1B358	0.0457192
A0A3N1HZA8	0.0233921
A0A8X8WPB2	0.0215765
A0A8J2KSA0	0.627249
A0A954SEM1	0.114709
A0A534KA55	0.0431188
A0A8H6XAF3	0.0942687
A0A8J4LK58	0.0225195
A0A2E4EFW8	0.0288138
A0A7K4IJP5	0.0339138
A0AA43XJG0	0.0173377
A0A972ZSN7	0.0218103
A0A7Y7E8H2	0.0232858
A0A1S1YV72	0.0243565
A0A9D6Y9I8	0.0278588
A0AAQ3U9W3	0.0216578
A0A316EVJ7	0.023842
A0A7J5UXX0	0.0281594
A0A917J202	0.0222643
A0A2K3CQ58	0.0245211
A0A850PX55	0.0160586
A0A8H6YUL7	0.101179
A0A2S6C3T5	0.0946801
A0AAP0EQI6	0.0210451
A0A1Q5KBG0	0.025104
A0AAV9NWN9	0.51169
A0A1Q3BMD6	0.0187468
A0A7Y6MCJ7	0.0404758
A0A265Q7S0	0.0167015
A0A7X1HL02	0.0271778
A0A0F7ZFG5	0.036676
A0AAN6S9X9	0.119952
A0AAE8N6U6	0.0946988
A0A6I9UXZ5	0.0227911
A0A3E3IX31	0.0167963
A0AAD4CWX3	0.271948
A0A2H4UTS0	0.0664926
A0A7X9JA85	0.0158174
A0A819R3I3	0.0205845
A0A9X0BC34	0.0793742
A0A532T2U8	0.0389748
A0A1J5RY00	0.0203438
A0A4U0TN37	0.0723239
A0A9X0AUX0	0.203512
A1ZZ28	0.0328669
A0A932JYY9	0.0184413
A0A2G5HRD5	0.114631
A0A2T2N309	0.102836
A0A9Q8QK69	0.0594187
A0A1Q7NKG2	0.0441993
A0A9N9LDX7	0.0856246
A0A7C3XHT6	0.0449522
A0A3D5NSC3	0.0135105
A0A420P5S4	0.0986515
A0AAW1YLL9	0.0246771
A0A3M7MFL5	0.0828268
A0A150PSJ5	0.0843661
A0A9W9ICF8	0.385582
A0AAD4CLB1	0.0645364
A0A4Q4V082	0.0483165
A0A7H8R269	0.0898998
A0AA40DP84	0.0957219
A0A8J7L0E5	0.015816
A0A3G1B411	0.0439798
A0A7J3XKB6	0.0599594
A0AAV9WAS7	0.10028
A0A9W8YIN3	0.0906917
A0A7T7KTS5	0.0797085
A0A5S9IM99	0.136385
A0A1V6PBT9	0.0909364
A0A937FFW6	0.0142922
A0A1L9NF15	0.12063
A0A7C1EVZ1	0.0685497
A0A4Y7IMZ6	0.0226747
A0A161PCZ3	0.150435
G8TA11	0.0253759
A0A931KKL4	0.0388933
A0A1S3TE60	0.0220848
A0AAU4S5S7	0.0272875
A0A7J6Q3Q9	0.0125512
A0AAD4D271	0.0357282
A0A1J0KS35	0.0376927
A0A964YJW6	0.03064
A0A8T3WF21	0.0369782
A0A1F7YPZ2	0.0451187
A0A1H8T7Q5	0.0268053
A0A925BVS9	0.015677
M2TYD8	0.0917986
A0A534L1E5	0.038634
A0A5N6D605	0.0555281
A0A8J2KSX0	0.724073
A0AAU3FN81	0.0259386
A0A1F5G6X2	0.0399866
A0A3M9ZHN5	0.0331718
R0IDG4	0.0931315
A0A8T3NCP5	0.0342443
A0A317VCP2	0.174278
F3KKW4	0.0345028
A0AAV9MWT3	0.104108
A0A0N0B3U9	0.0214151
A0A2N2P0S7	0.0136543
A0A2M6Z323	0.124766
A0A958ZQR5	0.0357239
A0A2N3HZD0	0.0186014
A0A8J7Y4N4	0.0429044
A0A847PSM8	0.0543059
A0A8J8FHC4	0.0240207
A0A1F6VNW7	0.0478842
A0A0G0TQD0	0.0329558
A0A6A7LAR5	0.0489615
A0A1L9RXI0	0.0772586
A0AAD6GQ70	0.0837859
A0A6A5UCJ1	0.0806913
A0A8J7XT75	0.147318
A0A9E1QB38	0.0263548
A0A848WYT6	0.0358052
A0A0G2FYU1	0.129886
A0A843CKU0	0.170372
A0A7M1PZB0	0.0204048
A0AAD8TKV9	0.0194738
A0A564Q8U0	0.0494619
A0A197JKB3	0.145399
A0A2G4GKA0	0.024739
A0A7Y3FB38	0.0293895
V6KA23	0.0261285
A0A7S1CP13	0.0724218
A0A150FV05	0.0253458
A0A835XW50	0.0204169
A0A534IZH1	0.0386879
A0A818CZ14	0.0188603
A0A534K398	0.0390094
A0AAE0LFW0	0.0244787
A0AA37LVC8	0.0915202
A0A074Y838	0.0996972
A0A5B2YZ12	0.0400956
A0A7V9LBC5	0.0365056
A0A661ZUN7	0.0430244
A0A955PXD4	0.0642198
A0A9W6S0K0	0.0599362
A0A919SR20	0.0705538
A0A8H5D1Z9	0.0943725
A0A813XYE2	0.022732
A0A3D1KX55	0.0169372
A0A931BWY3	0.0427083
A0A3M1LJT5	0.0392371
A0A2N8MLB9	0.0325493
A0A948UI18	0.0967962
A0A9D7TT80	0.0236827
A0A1H1R5Y9	0.0211803
A0A814MQF4	0.0181039
A0A0K1EM95	0.0564418
S3D7Y6	0.0868524
A0A0K8PW03	0.0210563
C5FNJ1	0.0713573
A0A6A7AQS4	0.123117
U2NAG0	0.0149297
A0A384JQC9	0.0858171
A0AAE0NUQ2	0.102061
A0A9P6S7A0	0.126583
A0A1Q7YTG4	0.115005
A0A8J6XS63	0.0255394
A0A450SFA8	0.127257
A0AA40BZY6	0.102472
A0A9P5VGI0	0.162008
A0A6N6RGS7	0.020119
A0A969X7L7	0.0163172
A0A0G4EYS2	0.185344
A0AAN7BDB6	0.083005
A0A318CV38	0.0543413
A0A7Y1VX50	0.0274321
A0A949DZY7	0.0407971
A0A1F9FEP5	0.0356431
F7KLQ2	0.016375
A0A976PSJ7	0.0222965
A0A5N6T1W8	0.0522981
A0A959B1V6	0.0298647
A0A9N9KSZ4	0.182729
A0A2H1EGH4	0.0489377
F9XLZ9	0.0804724
A0A9W9FCS2	0.0678091
A0A945VCM9	0.0242387
A0A9X3XDJ5	0.08421
A0A1F7R6W9	0.046389
A0A9N9LXD5	0.00133988
A0A4U1IQM3	0.0548888
A0A484IBD7	0.0458035
A0A1F4RI67	0.0132601
A0A961I768	0.0191238
A0A534M8W2	0.0440415
A0AAD8LH72	0.0210242
A0A662BZ16	0.0216612
A0A9W9LHY4	0.0757977
A0A1M4M9K3	0.0187258
A0A1F5YUD2	0.0261731
A0AAV5GWM0	0.0159244
A0A935E2H9	0.137866
A0A835SIX7	0.0410474
A0A1Q8CXS1	0.0261034
V4J0X8	0.0626758
B5H2T1	0.0369301
A0A3B9UNX1	0.0209761
A0A8J5WT62	0.024634
A0A0G1UC63	0.0497945
A0A5M3Z5M1	0.0115684
A0A835W3G2	0.0248083
A0A1G9F1C6	0.0135422
A0A2D3UP43	0.111827
W9AQ76	0.0343268
A0A419W5A6	0.017747
A0A3D6CGS2	0.022209
L1P1Y9	0.0408738
A0A5B8VEX1	0.0259151
A0A8T4BV78	0.0734906
A0A7X8JFF5	0.0199638
A0A6A6DX92	0.139369
A0A8J8BX03	0.0380488
A0A8J5NGN9	0.154318
S3BGH6	0.027995
A0A959QGM9	0.0188753
A0A7X1MCQ6	0.0319226
A0A1G6U366	0.0300536
A0A654LYS7	0.0418397
A0A9J6NXH4	0.0201714
A0A397TYN6	0.121075
A0A2S7PPE1	0.0909894
A0A5N5Q210	0.0885844
A0A1H7WJN1	0.0248141
A0A370LK89	0.0451059
A0A946QSK5	0.0184401
A0A9P9S7F1	0.120222
A0A2V5X3K7	0.0415397
A0A8T5AP45	0.0712423
A0A5K7SEJ2	0.0162871
A0A1R3RGK6	0.0462967
A0A6B1FFX1	0.0408038
A0A942S641	0.023702
A8YBZ0	0.0245002
A0A1D1XHM1	0.0195468
A0A523YJB8	0.0329934
A0A059B7H8	0.0196608
A0A4Z1HPE7	0.0940572
A0A949XT10	0.0342353
A0A0C1UKD5	0.0188342
F0YXG7	0.0219347
A0A2V1BR27	0.106374
A0A3N4M9R3	0.020357
A0A1B8GS38	0.0773186
A0A8H6Y0L0	0.0893658
A0A2A2HPD2	0.111945
A0A522REQ7	0.0199085
A0A3N5SBP6	0.0395914
A0A4Z0ZC59	0.18647
A0A814VJ14	0.0207244
A9GGD0	0.0365347
A0A959Q4D7	0.0361838
A0A7X7UL22	0.0300416
A0A5B8YLB8	0.0185222
A0A0E9N6G9	0.0325269
A0A932NYT8	0.0334347
A0A3D5AQK0	0.0635475
A0A842M0P2	0.064476
A0A942RTW0	0.0203841
A0AAU1BM03	0.026219
A0A401QV78	0.0271296
A0A7W7C8W6	0.0281535
B3T924	0.040759
E3RWS4	0.0926801
A0A0D3EGH7	0.0180434
A0A2K2FQ38	0.0176151
A0A2C5Z2E7	0.20774
A0A9P9XTS2	0.111552
A0A818BBL0	0.0182565
H6LF25	0.0177367
A0A291QRE4	0.0239096
A0A7J2YC83	0.0435194
A0A4Q5U4B8	0.0405356
A0A814RZ67	0.0189356
A0AAW0A2Q2	0.0970519
A0A1A9I0W5	0.0213761
A0A970J194	0.0187036
A0A959RY73	0.032275
A0A814WG20	0.0285477
A0A662I836	0.019648
A0A950RQ96	0.0968503
A0A936UWD6	0.017587
A0AAD9Z2F4	0.2536
A0A093ZWX0	0.0663048
A0A1Q7PF01	0.0424823
A0A0G2I0Z4	0.0847296
A0A395HAY6	0.0748472
W9Z3U4	0.129882
A0A8H6RPV1	0.109907
A0A8J2I6E8	0.11172
A0A4P5TC99	0.0279538
A0AAD7DJC7	0.105028
A0A0G2HTT8	0.220266
A0A959GUC4	0.0287669
A0A1Q9MS14	0.0300849
A0A356F5F7	0.013817
A0A022QUN2	0.0219473
A0AA48LCX7	0.0302168
A0A8J8BUX3	0.0480879
A0A537EJD0	0.147499
A0A951SCP9	0.0220181
A0A959HPD1	0.0356043
A0A229X4H3	0.0761631
A0A6J1C599	0.0260189
A0AAE0LGC9	0.0215972
A0A1Y1CI58	0.0189669
A0A1S4BPS2	0.0229429
A0A2G6GBF8	0.0220253
A0A0T5ZFU2	0.0417946
A0A3B9I7W2	0.0234966
A0A949XRL7	0.0209872
A0A449BL58	0.0576135
A0AAW9S5E9	0.0205844
A0A3N5Y9J9	0.0216857
A0A517ZF24	0.0817697
A0A8G1RBF0	0.0694982
A0A395I0H0	0.0402194
A0A534MI49	0.0327541
A0AAD7AEK1	0.0974031
A0A9Q8Z963	0.0994509
A0A975JVR2	0.110596
Q5NEN5	0.0297833
A0A3M9ZVL5	0.0360586
A0A534LEN8	0.0328581
A0AAE1C723	0.082551
B6QE04	0.0537342
A0A0A2SRZ6	0.121242
A0A2V6CF99	0.0504911
A0A8T7JU97	0.0361299
A0A1G5FTL3	0.0146336
A0A7C7AGT6	0.0301563
M2U421	0.0902926
A0A1D1ZWE6	0.0243092
A0A9D6ZFR1	0.0245101
A0A7C4JUD2	0.0308319
A0A835XJI8	0.0447097
A0A9R1NXD4	0.0214905
A0A6I6K500	0.0160001
A0A2R7Y1V9	0.0421943
A0A8H3URY3	0.056216
A0A6N2SJE6	0.0294838
A0A820C6Y4	0.0234082
A0A7K4MXE0	0.0399184
E1ID35	0.0731492
A0A345JSW1	0.0315553
A0A822BDV8	0.0133082
A0A350YZ16	0.020076
A0A8J3RR72	0.0337445
A0A850SL81	0.0486128
A0A386HQ99	0.0139388
A0A1F5A4P1	0.0165723
A0A094ITP4	0.0836835
A0A7Y3H443	0.0416225
A0A941CNU5	0.0139551
A0A932PI25	0.0949003
E2SM51	0.0195273
A0A318YEX8	0.0799981
A0A534L8I5	0.0468131
A0A4Y8CX15	0.0869105
A0A2M7TSD8	0.0300299
A0A949K0E9	0.026647
A0A2H3FSP9	0.13482
A0A9Q0AIE4	0.0940953
A0A8H5DNH1	0.161271
A0A1L9S1A3	0.0997133
A0AAP0N1M1	0.0167739
A0A9P9WB49	0.0569491
A0A3B6C7V5	0.0221086
A0A8T7GJ49	0.0491279
A0A3N5S0M5	0.0140689
A0A2N9L3F3	0.0240332
A0A7C8IMP0	0.0346508
A0A4P5YQV8	0.0403556
A0A803PE27	0.0239306
A0A395NWC3	0.117181
A0A2T0BAU4	0.0182292
A0A2J6I8N4	0.0277844
A0A1G2FN63	0.0331568
A0A0G2F937	0.0678194
A0A8J2P3K2	0.788894
A0A653G212	0.04815
A0A9P3BRQ6	0.0391825
A0A814RZ73	0.0203466
A0A9X4BJD0	0.0255983
A0A6G2KUC1	0.0422958
A0A7J4RWA2	0.0431006
A0A1Q7MPH8	0.174381
A0A8J5FAB0	0.0250976
E6N4G2	0.0725601
A0A925UNE3	0.0186141
A0A2V8RDL1	0.0351236
A0A929GIQ9	0.016404
A0A534JTD5	0.0555349
A0A819NSV9	0.0169456
A0A1I7GSV9	0.019625
A0A8S9DVI3	0.0206579
A0A0E3SH12	0.129594
M7TSX6	0.105124
L1KQT8	0.0631417
A0A1M6PLQ2	0.0173113
A0A534JSV4	0.0388783
Q0V0A0	0.0902936
A0A1Q3H2G0	0.0389986
A0A9P9WA47	0.0820516
A0A925IT35	0.0204454
A0A3C2DA41	0.0134902
A0A7C6Y0D2	0.00964828
A0A381YE87	0.0379849
A0A5N6U9K3	0.0509255
A0A849Z9L2	0.0433539
A0A9E0F3S1	0.0350818
A0A317WYD1	0.0467061
A0A0G0T4X3	0.0402847
A0A3B9ZM74	0.0162813
A0A429I1W2	0.131238
A0A9P9MTS7	0.108322
A0A2G2Y5C5	0.0216406
A0A7X8MT01	0.0233996
A0A7W1NXB3	0.0680368
A0A8J2JCY2	0.631709
A0A661PDB7	0.0316779
A0A7W0G5X8	0.0331129
A0A3D0VQA5	0.0184084
A0A1V5LKI6	0.0155005
A0A397WA44	0.213599
A0A2J6IB45	0.035827
A0A1N5W510	0.0278323
M8ALX3	0.0228305
A0A1F9ZFB0	0.0497525
A0AA39TW75	0.124582
A0A0E3SJJ9	0.173052
A0A1V6RZU5	0.0624968
A0A970Z8K5	0.0241565
I1MYQ6	0.0165873
A0A1J7IJ21	0.110874
A0A2L0F576	0.0933798
A0A7D5M834	0.0441565
A0A6G8MX44	0.0340665
G3XWQ6	0.108211
A0A662XU89	0.0446028
A0A1J5I442	0.0406824
A0A6P6TKP1	0.024975
V6AU54	0.0428593
A0A9Q0GMC1	0.0214373
A0A0C5BQ82	0.0511488
A0A954JLP7	0.128184
A0A9X3AL34	0.110339
A0A2N2CL51	0.0164319
A0A355D7Y7	0.0187271
A0A923HZF7	0.0186239
A0A7X7VG90	0.0195882
A0A1Y2ET84	0.0359329
A0A6L3ZG46	0.0216351
A0A520KY90	0.043903
A0A9W9F2U8	0.0986034
A0A537FJG5	0.120265
A0AAI8PRU9	0.0626997
A0A2E2XYA0	0.0266114
A0A8S2RYQ9	0.0157602
K0IC41	0.0470313
A0A2Z4Y032	0.030813
A0A2H0W7N1	0.163986
A0A097EP79	0.0334354
A0A2V1E5A8	0.0960508
A0A9P9WHT8	0.0899912
A0AAD6E5M4	0.0760861
A0A534IYU1	0.0811995
A0A7J4CQM8	0.034039
A0A7X7ZUI5	0.0138368
A0A8H5YKE8	0.0577251
A0A358S6F6	0.0157487
A0A534LQN8	0.0363613
A0A0F4GE55	0.094838
A0A3P6CZX7	0.0182406
A0A7W9PG21	0.0600469
A0A2N2VT92	0.0166944
A0A440IVB6	0.0274526
A0A1M6JAJ2	0.0195684
A0AAV9GAZ4	0.119226
A0A959K078	0.0256369
A0A931GYL4	0.0249609
A0A4Z0FUB0	0.0262
A0A922ND47	0.108869
A0A9Q8PJV8	0.09462
A0A975S9G4	0.0350032
A0A1H9S2S6	0.0771726
A0A7W7CES7	0.0278802
A0A938QXH5	0.0354717
A0A533UAR2	0.0424251
A0A1M5QYT9	0.018603
A0A497DAD9	0.0284795
A0A8J2KHU9	0.812305
A0A976X9Y4	0.0288827
A0AAV9W0Y7	0.0999233
A0A5N6TY51	0.0900923
A0A193BV54	0.0320016
M7T7U2	0.0719181
R9C645	0.0211178
A0A017T4P0	0.0536427
A0A7X7AAN1	0.0145332
A0A6N7P0V2	0.0148892
A0A1U8K8F7	0.0217587
A0A8J8BWA7	0.0362862
A0A7C5MI77	0.0129519
A0A3N5UWI8	0.0132206
A0A958XKH5	0.0258147
A0A2N2EZC9	0.0512243
A0A3B9T7E3	0.0283515
A0A5M3YXD3	0.0749796
A0AAD6ZEU8	0.111222
A0AAU8HS06	0.025254
A0A7C6IYL6	0.0176947
A0A534IKH2	0.0561387
A0A2P0VN22	0.0422456
A0A3D5YVG1	0.0165915
A0A1M7XWY2	0.0198452
A9NHI0	0.0324426
A0A9J7BSY3	0.0232527
A0A9X0BD86	0.0607929
A0A434AWH4	0.0212153
A0A932LET1	0.107321
A0A1F6CPF9	0.0527098
A0A6I0F856	0.0146245
A0A3S3NCK6	0.0237569
A0A3C0RCR6	0.0201304
A0A6J1JA44	0.0241926
J3PEC2	0.0512225
A0A0G0L667	0.0242034
A0A2G6RBG3	0.0178275
A0A8J3L562	0.0544536
A0AAV9GGH1	0.107254
A0A7Y3BS44	0.0282475
A0A1Y2MAW7	0.0885297
A0A814NHJ7	0.0189561
A0A087SRI6	0.025044
A0A935Z7R4	0.0328256
A0A218VZC7	0.0194175
A0A975K135	0.154118
A0A9W7T0T2	0.0923119
A0A0H3DHB6	0.0761778
A0A151EZ24	0.0409556
A0A2N2BN85	0.0171615
A0A835WMA9	0.024937
A0AA40VTU3	0.0245752
A0A974XDT1	0.0172813
A0A8J5XTU4	0.0204698
A0A3E0PZE2	0.117832
A0A1F5LCU4	0.0985226
B6TZQ0	0.0221335
A0AA38XE48	0.117083
A0A7G9GKB4	0.0230793
A0A0F2T6J0	0.0345071
A0A3N9NLI0	0.017902
A0A1Y2V2U5	0.115375
A0A3N5RP24	0.0838986
A0A5E4LVG6	0.0503068
A0A918GRN6	0.0301252
A0A819J962	0.033168
A0AA51R556	0.0143571
N9WMZ7	0.018054
A0A1J5HDL7	0.0270679
A0A9E6F938	0.0203417
A0A3C2A6P8	0.0248574
B0U0H2	0.0266851
A0A942FAJ3	0.051292
A0A1I7NGK0	0.0259529
A0A7Y3A7N7	0.0320748
A0A1I0RY35	0.0194743
A0A7K2YD55	0.0454266
A0A4Q1ZYL4	0.01689
Q0CZT9	0.0672338
A0A9Q0HW57	0.0222919
A0A1M6K7C6	0.0169206
A0A534J6E9	0.0591694
A0A5B9W5B9	0.0259669
A0A846NKI6	0.0322063
A0A0T0M2L0	0.0203814
A0A9W9INU2	0.0774654
A0A3Q9FK52	0.0252645
A0A1H8MBQ2	0.0494287
A0A951F388	0.0231382
A0A2M8JTI2	0.0284313
A0A8J3HTY4	0.0570682
A0A8J7XS31	0.0326478
A0A930UR48	0.0219098
A0A0D2EX40	0.0966583
A0A814XX28	0.0174968
A0A833RF65	0.0235232
A0A8G0PW25	0.327368
A0A522STR5	0.0197142
M7TBC3	0.278118
A0A9P5UL05	0.0359157
A0A955V3R7	0.0834399
A0A815AY39	0.0305995
A0AAV9N2X8	0.0741194
A0A832TC90	0.0525837
A0A2P5EZF5	0.0214513
A0A533U7B7	0.0420353
A0A835X7M5	0.0384527
A0A842Q332	0.0555288
A0A951JRQ0	0.0565093
A0A2N9M728	0.0146628
A0A9D4Z019	0.0201048
W0F343	0.0170139
A0AAV6C737	0.0149502
A0A2E0MFC0	0.0258951
A0A2D5UJS3	0.0230766
A0A522WYX2	0.00520005
A0A835WYY6	0.0445678
A0A7W4EAP4	0.0296757
A0A2P5HR42	0.0936846
A0AA88QVQ5	0.0212998
A0AAJ4TL78	0.0279581
A0A7Y1YCA1	0.0324512
V7I827	0.0169052
A0A151F9U9	0.0344509
A0A6N7XY38	0.0138617
A0AA40A7I0	0.110047
A0A936GUW9	0.0385754
A0A1F9ZDK8	0.0395505
A0A9D2NEH7	0.0164116
A0A317WJU0	0.190794
A0A955L6M0	0.0719425
A0A7Y9PFL2	0.0273717
A0A2G9Z049	0.122029
A0A4T0VRS3	0.0701727
A0AA39YSI9	0.115043
A0A0G0MXU4	0.0607196
A0A8H6Y0C5	0.144821
A0A956QCW0	0.0266161
A0A0E3PBJ9	0.170805
A0A8H6LNZ7	0.186711
A0A2D0NAH2	0.0191255
A0A9W9WHX4	0.125644
A0A5E4I9B1	0.151109
A0A226DI62	0.0872736
A0A5B8VCF3	0.0230179
A0A8J8KK02	0.0537667
A0A9X3F2H0	0.015719
A0A1V4IR00	0.0318805
A0A7W7FT56	0.0602192
A0A2E6SYZ7	0.0300881
A0A8K0LW47	0.0967235
A0A5M8SQJ6	0.0235242
A0A6P4AXI3	0.0198742
A0A6A5S6V9	0.0973864
A0A495PW84	0.0276786
A0A3N9PIU6	0.0169197
A0A3N5KZV7	0.0207658
A0A932G5R0	0.018601
A0A6N7Q681	0.0341773
A0AA43BU68	0.0305621
A0A1Q7MFF6	0.181039
A0A1F3MAV2	0.0245831
A0A9Q9EML8	0.0543396
A0AAW1QNW5	0.0203819
A0A9D7TUJ2	0.0253532
A0A821N0S2	0.0190578
A0A1I1JAY4	0.0145638
A0A4Y3QZ16	0.0236927
A0A250I8A8	0.0239985
A0A8J7Y590	0.0385616
A0A7C1EIM8	0.0499936
A0A2J6IIN5	0.0313341
A0A0F7ZGG8	0.268879
A0A804KZY9	0.0205798
A0A6M0H9I7	0.018194
A0A318YY84	0.122681
A0A743SPB3	0.0314423
A0A7Y2HKG6	0.0372275
A0A415I5V1	0.0571769
A0A2J6SXA7	0.11377
A0A1E7JMT8	0.0257765
A0A150SSY0	0.0472831
A0A1B8ETF3	0.0897808
A0A017T584	0.035866
A0A073CFE2	0.0305804
A0A971DY67	0.0208647
A0A6G1LWV5	0.114907
A0AAV1I816	0.0216891
A0A4Q3UTC5	0.0352094
A0A6A6DZV1	0.153848
A0A553GR34	0.0273519
A0A1L9MSP5	0.104799
A0A061AFM7	0.0308005
A0A1E2WP66	0.0283178
W9HGE8	0.088562
K2BT53	0.066239
A0A0M9WKX4	0.0660388
A0A814GTZ8	0.0220052
A0A8S0RED7	0.0221764
A0A7L5C9A7	0.0350109
A0A2T7CVP2	0.0209321
A0A6A6KVE3	0.022547
A0A534L5D8	0.0540879
A0A4R3H127	0.0533965
A0A7M4D2U4	0.0193533
A0A5C6ZP13	0.0197465
A0A4P9A3L2	0.0153152
B2WQ91	0.0860935
A0A1F7WH91	0.0377871
A0A8T4DYH9	0.047905
A0A955KX52	0.0473587
A0A8H3SRK5	0.0292364
A0A1E7GF31	0.120498
A0A2V8RAG5	0.0244964
A0A8T7GBV5	0.0395395
A0A7C6JYH5	0.0182708
A0A1H7JSW9	0.0145503
A0A9X2VFU4	0.0702987
A0A8T7FCQ4	0.101264
A0A3M1CV91	0.0281554
