DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	TPS_p_calibrated (0.95–1.00)
A0A9P9WHT8	0.995633
A0A8X7UD64	0.956799
A0A2P6RQA3	0.974306
A0A7Y3BS44	0.973618
A0A1S3BX98	0.952428
A0AA40EFU6	0.996315
A0A5N6TY51	0.990974
A0A662BZ16	0.993486
A0A847G166	0.988219
Q0CJ55	0.99998
A0A135LUB0	0.986323
A0A1G0AEZ5	0.987224
A0A3D1KX55	0.993126
A0A940KGD8	0.996195
U7VBE1	0.951679
A0A3C2A6P8	0.994076
M2U421	0.981236
A0A0F7ZGG8	0.999985
A0A8J2KUV5	1
A0A384JQ51	0.999683
A0A955KX52	0.974914
A0A4Q5U4B8	0.991394
A0A7W9PG21	0.997142
A0A841CJ28	0.981338
A0AAD8TKV9	0.955707
A0A955RKV0	0.999981
A0AAD7EH55	0.988623
A0A6A5S6V9	0.988935
A0AAD6GQ70	0.984112
A0A7L5C9A7	0.972509
A0A814VJ14	0.995945
A0A8T7FCQ4	0.999256
A0A958XKH5	0.989156
A0A2V1D3A7	0.99986
A0A850SL81	0.979751
A0A1H0QEJ3	0.972436
A0AA40VTU3	0.958039
A0A2T7CVP2	0.968521
E1ID35	0.998366
A0A9E0F3S1	0.997836
A0A836BK38	0.954378
A0A533U7B7	0.986781
A0A8T5AP45	0.999391
A0A2D0NAH2	0.996769
A0A2M6Z323	0.999931
C4ZEM0	0.995606
A0A8H6RPV1	0.991905
A0A945VCM9	0.996194
A0A956RW10	0.99532
A0A925IT35	0.992482
A0A804KZY9	0.952501
A0AAN7BDB6	0.983108
A0A2Z4W8H9	0.990288
A0A3N5Y9J9	0.994073
A0A5R8YPR3	0.99165
A0A2E4JTY2	0.974021
A0A3E0PZE2	0.999798
A0A1F9ZDK8	0.995406
A0AAV1I816	0.957168
A0A2D5UJS3	0.989197
A0A532T2U8	0.995779
A0A932PI25	0.999939
A0A954SEM1	0.999883
A0A1D1XHM1	0.952548
A0A6D2IPX7	0.958388
A0A1Q7BAE9	0.999922
A0A8B8NZF9	0.95988
A0A3N5RP24	0.998287
A0A9Q9EML8	0.96006
A0A1I7M278	0.998998
A0A533UAR2	0.969292
L1KQT8	0.976261
A0A6N6RGS7	0.981038
A0A1H8MBQ2	0.998115
A0A7X5EED4	0.989842
A0A1V6RZU5	0.971606
A0A2N2EZC9	0.993816
A0A3D5AQK0	0.997823
A0A374HYM4	0.994844
A0A949K0E9	0.996083
A0A1Q3BMD6	0.962928
A0A3M1CV91	0.958087
A0A386HQ99	0.95335
A0A1F6VNW7	0.999277
A0A3D5NSC3	0.983178
A0A9P6S7A0	0.997129
A0A7K2MIX3	0.962899
A0A370TL61	0.988468
A0A4Z0ZC59	0.999906
A0A3M1LJT5	0.962555
A0A2T2N309	0.992963
A0A7M4D2U4	0.99316
A0A8J7XS31	0.969749
A0A1F9ZFB0	0.995986
A0A931GYL4	0.987172
A0AA91GJ74	0.951126
A0A2N2P0S7	0.990254
A0A938AS23	0.979185
W9Z3U4	0.998476
A0A661PDB7	0.984626
A0A1L9RXI0	0.988495
A0AAD8LH72	0.951937
D9SUK4	0.973724
A0A250I8A8	0.973153
A0A5B8VEX1	0.988077
A0A6B1FFX1	0.981608
A0A4Z0FUB0	0.968463
A0AAF1AVX0	0.950066
A0A5C6ZP13	0.973732
A0A316EVJ7	0.969769
A0A5B7X7V1	0.987816
A0A9P3BRQ6	0.953745
A0A1F4ZVF3	0.998649
A0AAN8MK86	0.991889
A0A843CKU0	0.999971
A0A7J5UXX0	0.98944
A0A969X7L7	0.987674
A0A2E0MFC0	0.991272
A0A9W9INU2	0.971777
A0A5N6U9K3	0.973389
H6LF25	0.989308
A0A0C2A690	0.997336
A0A0G2HTT8	0.999955
A0A6M0H9I7	0.98399
A0A534M8W2	0.99761
D3H588	0.965526
A0A1H7JSW9	0.974233
A0A7M1PZB0	0.996391
A0A2H4UTS0	0.952853
A0A6A7LAR5	0.98813
A0A1M5QYT9	0.988555
B2WQ91	0.990161
A0A8S2RYQ9	0.969838
A0A7C5LAW0	0.999287
A0A2I8DM01	0.983345
A0A1E7JMT8	0.990523
A0A1Q7D4L9	0.979595
A0A1M6K7C6	0.986138
A0A559PIF6	0.993278
A0A399CYD9	0.980439
A0A9W7T0T2	0.984779
A0A453C3G6	0.974461
A0A1F7R6L2	0.990724
A0A0E9N6G9	0.971592
A0A958VN12	0.992132
A0A0A2JTN6	0.984921
A0A4Y7IMZ6	0.965738
A0A8J2JCY2	1
V9H8C0	0.989274
A0AA40DP84	0.987916
A0A5S9IM99	0.999698
A0A7X9DPH4	0.999434
A0A7K4IJP5	0.991823
A0A930UR48	0.97284
A0A3S3NCK6	0.973369
A0AA48LCX7	0.976346
A0A9P9WB49	0.962631
A0A2K5AT03	0.968292
A0A6A6DX92	0.999887
A0A1L9MUW0	0.996815
A0AAI8PRU9	0.952556
A0A2K2FQ38	0.990896
A0A959HPD1	0.962294
A0A959Q4D7	0.975647
A0A0G0T4X3	0.998989
A0A150PSJ5	0.999667
A0A3M9ZVL5	0.974925
N1QNR1	0.993053
A0A7Y2G285	0.981843
A0A8H6XAF3	0.967833
A0A3N9NLI0	0.995008
A0A1E2WP66	0.974712
A0A4P5YQV8	0.985262
A0A1J5DPI2	0.966193
E5A7E2	0.987268
A0A8J6XS63	0.95011
A0A954T1V2	0.999227
A0A928ZSM8	0.978977
E3S8Z3	0.969285
A0A5N6T1W8	0.977552
A0A9Q0AIE4	0.991309
A0A1C6ANR9	0.978306
A0A9N9KSZ4	0.999887
A0AAW1QNW5	0.964712
A0A173MFZ3	0.978706
A0A1V6PBT9	0.994096
A0A060HJZ5	0.973299
A0A9W9S486	0.976545
A0A434AWH4	0.996424
W9HGE8	0.983773
A0A5E4I9B1	0.999922
A0A6A6D2H1	0.977906
W0F343	0.974273
A0A7J4RWA2	0.97416
A0A7C8IMP0	0.996395
A0AA43XJG0	0.980489
A0A099CWH0	0.975714
A0A3D0VQA5	0.990609
A0A9E1QB38	0.984881
A0A1B8C154	0.976185
A0A1Q3RNZ9	0.980556
A0A2S9YKT6	0.996568
A0A7X1HL02	0.96281
A0A1S4BPS2	0.970338
A0A0E3SH12	0.999895
A0A6A6F8F9	0.994896
A0A955L6M0	0.999671
A0A534JTD5	0.998935
A0A8H7X4H8	0.968831
A0A2S7P8J3	0.986203
R0IDG4	0.976611
A0A6J1C599	0.958976
A0A6G8MX44	0.997931
A0A832TC90	0.999672
A0A265Q7S0	0.983339
A0A6A6V2U8	0.999824
A0AA40EJF4	0.992902
A0A9W9LHY4	0.985747
A0A938QXH5	0.976192
A0A5E4LVG6	0.9864
A0A2E2XYA0	0.996237
A0AAD4KG93	0.981231
A0A743SPB3	0.961006
A0A974XDT1	0.964339
A0A8J3L3L5	0.988823
A0A0D1Z9P9	0.995638
A0A1V9EVX9	0.987524
A0A8T7JT52	0.955063
A0A2V3ZTC0	0.992201
A0A537FJG5	0.999913
A0AA37LVC8	0.990867
A0A941CNU5	0.976203
I3D0E6	0.988091
A0AAE1C8G3	0.989692
A1ZZ28	0.996013
A0A1Q9MS14	0.971707
A0A6P6TAW4	0.981616
A0A9E0AUL3	0.995716
G3XWQ6	0.995433
A0A1F7IFX6	0.998832
A0A1F7WH91	0.999606
A0A161PCZ3	0.999965
A0A0G0MXU4	0.998589
A0A0G3CG10	0.999899
A0A835W3G2	0.973445
A0A7W0J6C2	0.998258
A0A194XD21	0.984617
A0A4U3L267	0.986193
A0A017T584	0.994663
A0A534LQN8	0.989893
A0A094CY22	0.978975
A0A6G1YMD5	0.966938
A0A150FV05	0.983523
A0AAQ3KH34	0.969193
A0A388MAX7	0.971705
M7TBC3	0.999995
A0A975BBU3	0.983868
E3RWS4	0.989374
A0A150SSY0	0.986205
A0A7X7AAN1	0.976981
